syntagme,A,B,relation,split,det,definitude,ambigu,candidats
aile de l'avion,aile,avion,r_holo,train,Det,Def,non,
volant de la voiture,volant,voiture,r_holo,train,Det,Def,non,
guidon du vélo,guidon,vélo,r_holo,train,Det,Def,non,
pédale du piano,pédale,piano,r_holo,train,Det,Def,non,
clavier de l'ordinateur,clavier,ordinateur,r_holo,train,Det,Def,non,
écran du téléphone,écran,téléphone,r_holo,train,Det,Def,non,
toit de la maison,toit,maison,r_holo,train,Det,Def,non,
cheminée de l'usine,cheminée,usine,r_holo,train,Det,Def,non,
clocher de l'église,clocher,église,r_holo,train,Det,Def,non,
dôme de la basilique,dôme,basilique,r_holo,train,Det,Def,non,
marches de l'escalier,marches,escalier,r_holo,train,Det,Def,non,
poignée de la porte,poignée,porte,r_holo,train,Det,Def,non,
serrure du coffre,serrure,coffre,r_holo,train,Det,Def,non,
lame du couteau,lame,couteau,r_holo,train,Det,Def,non,
manche de la hache,manche,hache,r_holo,train,Det,Def,non,
pointe de la flèche,pointe,flèche,r_holo,train,Det,Def,non,
corde de la guitare,corde,guitare,r_holo,train,Det,Def,non,
touche de l'accordéon,touche,accordéon,r_holo,train,Det,Def,non,
roue du chariot,roue,chariot,r_holo,train,Det,Def,non,
essieu de la remorque,essieu,remorque,r_holo,train,Det,Def,non,
moteur du bateau,moteur,bateau,r_holo,train,Det,Def,non,
gouvernail du navire,gouvernail,navire,r_holo,train,Det,Def,non,
mât du voilier,mât,voilier,r_holo,train,Det,Def,non,
voile de la goélette,voile,goélette,r_holo,train,Det,Def,non,
ancre de la barque,ancre,barque,r_holo,train,Det,Def,non,
branche de l'arbre,branche,arbre,r_holo,train,Det,Def,non,
racine du chêne,racine,chêne,r_holo,train,Det,Def,non,
feuille du platane,feuille,platane,r_holo,train,Det,Def,non,
pétale de la rose,pétale,rose,r_holo,train,Det,Def,non,
épine du rosier,épine,rosier,r_holo,train,Det,Def,non,
écorce du bouleau,écorce,bouleau,r_holo,train,Det,Def,non,
noyau de la pêche,noyau,pêche,r_holo,train,Det,Def,non,
pépin de la pomme,pépin,pomme,r_holo,train,Det,Def,non,
peau de la banane,peau,banane,r_holo,train,Det,Def,non,
aile du papillon,aile,papillon,r_holo,train,Det,Def,non,
patte de l'araignée,patte,araignée,r_holo,train,Det,Def,non,
carapace de la tortue,carapace,tortue,r_holo,train,Det,Def,non,
défense de l'éléphant,défense,éléphant,r_holo,train,Det,Def,non,
crinière du lion,crinière,lion,r_holo,train,Det,Def,non,
bosse du chameau,bosse,chameau,r_holo,train,Det,Def,non,
nageoire du requin,nageoire,requin,r_holo,train,Det,Def,non,
bec du perroquet,bec,perroquet,r_holo,train,Det,Def,non,
plume du paon,plume,paon,r_holo,train,Det,Def,non,
queue du castor,queue,castor,r_holo,train,Det,Def,non,
sabot du cheval,sabot,cheval,r_holo,train,Det,Def,non,
corne du taureau,corne,taureau,r_holo,train,Det,Def,non,
coquille de l'escargot,coquille,escargot,r_holo,train,Det,Def,non,
dard de l'abeille,dard,abeille,r_holo,train,Det,Def,non,
mandibule de la fourmi,mandibule,fourmi,r_holo,train,Det,Def,non,
antenne du criquet,antenne,criquet,r_holo,train,Det,Def,non,
portière du camion,portière,camion,r_holo,test,Det,Def,non,
phare du scooter,phare,scooter,r_holo,test,Det,Def,non,
selle de la moto,selle,moto,r_holo,test,Det,Def,non,
chaîne de la tronçonneuse,chaîne,tronçonneuse,r_holo,test,Det,Def,non,
gâchette du pistolet,gâchette,pistolet,r_holo,test,Det,Def,non,
canon du fusil,canon,fusil,r_holo,test,Det,Def,non,
cadran de la montre,cadran,montre,r_holo,test,Det,Def,non,
aiguille de l'horloge,aiguille,horloge,r_holo,test,Det,Def,non,
pile de la télécommande,pile,télécommande,r_holo,test,Det,Def,non,
objectif de la caméra,objectif,caméra,r_holo,test,Det,Def,non,
vitre du wagon,vitre,wagon,r_holo,test,Det,Def,non,
quai de la gare,quai,gare,r_holo,test,Det,Def,non,
piste de l'aéroport,piste,aéroport,r_holo,test,Det,Def,non,
pilier du pont,pilier,pont,r_holo,test,Det,Def,non,
arche du viaduc,arche,viaduc,r_holo,test,Det,Def,non,
rambarde du balcon,rambarde,balcon,r_holo,test,Det,Def,non,
volet de la fenêtre,volet,fenêtre,r_holo,test,Det,Def,non,
tuile du toit,tuile,toit,r_holo,test,Det,Def,non,
allée du jardin,allée,jardin,r_holo,test,Det,Def,non,
chapitre du roman,chapitre,roman,r_holo,test,Det,Def,non,
strophe du poème,strophe,poème,r_holo,test,Det,Def,non,
refrain de la chanson,refrain,chanson,r_holo,test,Det,Def,non,
scène du film,scène,film,r_holo,test,Det,Def,non,
page du cahier,page,cahier,r_holo,test,Det,Def,non,
couverture du livre,couverture,livre,r_holo,test,Det,Def,non,
index du dictionnaire,index,dictionnaire,r_holo,test,Det,Def,non,
préface du recueil,préface,recueil,r_holo,test,Det,Def,non,
semelle de la chaussure,semelle,chaussure,r_holo,test,Det,Def,non,
col de la chemise,col,chemise,r_holo,test,Det,Def,non,
bouton du manteau,bouton,manteau,r_holo,test,Det,Def,non,
