syntagme,A,B,relation,split,det,definitude,ambigu,candidats
voiture du voisin,voiture,voisin,r_own-1,train,Det,Def,non,
maison des parents,maison,parents,r_own-1,train,Det,Def,non,
guitare du musicien,guitare,musicien,r_own-1,train,Det,Def,non,
ordinateur de l'étudiant,ordinateur,étudiant,r_own-1,train,Det,Def,non,
chaussures de la danseuse,chaussures,danseuse,r_own-1,train,Det,Def,non,
valise de la touriste,valise,touriste,r_own-1,train,Det,Def,non,
montre du banquier,montre,banquier,r_own-1,train,Det,Def,non,
bateau du pêcheur,bateau,pêcheur,r_own-1,train,Det,Def,non,
tracteur du fermier,tracteur,fermier,r_own-1,train,Det,Def,non,
camion du transporteur,camion,transporteur,r_own-1,train,Det,Def,non,
chien du berger,chien,berger,r_own-1,train,Det,Def,non,
cheval du cavalier,cheval,cavalier,r_own-1,train,Det,Def,non,
troupeau de l'éleveur,troupeau,éleveur,r_own-1,train,Det,Def,non,
boutique du fleuriste,boutique,fleuriste,r_own-1,train,Det,Def,non,
atelier du menuisier,atelier,menuisier,r_own-1,train,Det,Def,non,
outils du bricoleur,outils,bricoleur,r_own-1,train,Det,Def,non,
clés du gardien,clés,gardien,r_own-1,train,Det,Def,non,
bureau du directeur,bureau,directeur,r_own-1,train,Det,Def,non,
cabinet de l'avocat,cabinet,avocat,r_own-1,train,Det,Def,non,
ferme du paysan,ferme,paysan,r_own-1,train,Det,Def,non,
terres du propriétaire,terres,propriétaire,r_own-1,train,Det,Def,non,
jardin de la retraitée,jardin,retraitée,r_own-1,train,Det,Def,non,
vélo du facteur,vélo,facteur,r_own-1,train,Det,Def,non,
scooter du livreur,scooter,livreur,r_own-1,train,Det,Def,non,
casque du motard,casque,motard,r_own-1,train,Det,Def,non,
planche du surfeur,planche,surfeur,r_own-1,train,Det,Def,non,
skis du moniteur,skis,moniteur,r_own-1,train,Det,Def,non,
raquette de la championne,raquette,championne,r_own-1,train,Det,Def,non,
gants du boxeur,gants,boxeur,r_own-1,train,Det,Def,non,
maillot du coureur,maillot,coureur,r_own-1,train,Det,Def,non,
sac du randonneur,sac,randonneur,r_own-1,train,Det,Def,non,
tente du campeur,tente,campeur,r_own-1,train,Det,Def,non,
jumelles de l'ornithologue,jumelles,ornithologue,r_own-1,train,Det,Def,non,
appareil du photographe,appareil,photographe,r_own-1,train,Det,Def,non,
micro du chanteur,micro,chanteur,r_own-1,train,Det,Def,non,
violon de la soliste,violon,soliste,r_own-1,train,Det,Def,non,
archet du violoniste,archet,violoniste,r_own-1,train,Det,Def,non,
pinceaux du peintre,pinceaux,peintre,r_own-1,train,Det,Def,non,
chevalet de l'artiste,chevalet,artiste,r_own-1,train,Det,Def,non,
four du boulanger,four,boulanger,r_own-1,train,Det,Def,non,
couteaux du cuisinier,couteaux,cuisinier,r_own-1,train,Det,Def,non,
tablier du serveur,tablier,serveur,r_own-1,train,Det,Def,non,
caisse du commerçant,caisse,commerçant,r_own-1,train,Det,Def,non,
coffre du bijoutier,coffre,bijoutier,r_own-1,train,Det,Def,non,
livres du professeur,livres,professeur,r_own-1,train,Det,Def,non,
cartable de l'écolier,cartable,écolier,r_own-1,train,Det,Def,non,
cahier de la lycéenne,cahier,lycéenne,r_own-1,train,Det,Def,non,
jouets de l'enfant,jouets,enfant,r_own-1,train,Det,Def,non,
canne du vieillard,canne,vieillard,r_own-1,train,Det,Def,non,
lunettes de la grand-mère,lunettes,grand-mère,r_own-1,train,Det,Def,non,
portefeuille du client,portefeuille,client,r_own-1,test,Det,Def,non,
carte du voyageur,carte,voyageur,r_own-1,test,Det,Def,non,
passeport du diplomate,passeport,diplomate,r_own-1,test,Det,Def,non,
uniforme du pilote,uniforme,pilote,r_own-1,test,Det,Def,non,
badge de l'employé,badge,employé,r_own-1,test,Det,Def,non,
ordinateur du développeur,ordinateur,développeur,r_own-1,test,Det,Def,non,
téléphone de l'adolescente,téléphone,adolescente,r_own-1,test,Det,Def,non,
écouteurs du passager,écouteurs,passager,r_own-1,test,Det,Def,non,
parapluie de la promeneuse,parapluie,promeneuse,r_own-1,test,Det,Def,non,
manteau de l'invité,manteau,invité,r_own-1,test,Det,Def,non,
bijoux de la comtesse,bijoux,comtesse,r_own-1,test,Det,Def,non,
bague de la mariée,bague,mariée,r_own-1,test,Det,Def,non,
collier de la duchesse,collier,duchesse,r_own-1,test,Det,Def,non,
domaine du vigneron,domaine,vigneron,r_own-1,test,Det,Def,non,
cave du sommelier,cave,sommelier,r_own-1,test,Det,Def,non,
bibliothèque du collectionneur,bibliothèque,collectionneur,r_own-1,test,Det,Def,non,
tableaux du mécène,tableaux,mécène,r_own-1,test,Det,Def,non,
yacht de l'armateur,yacht,armateur,r_own-1,test,Det,Def,non,
jet du milliardaire,jet,milliardaire,r_own-1,test,Det,Def,non,
chevaux de l'écuyer,chevaux,écuyer,r_own-1,test,Det,Def,non,
meute du chasseur,meute,chasseur,r_own-1,test,Det,Def,non,
ruches de l'apiculteur,ruches,apiculteur,r_own-1,test,Det,Def,non,
barque du passeur,barque,passeur,r_own-1,test,Det,Def,non,
charrette du marchand,charrette,marchand,r_own-1,test,Det,Def,non,
échoppe de l'artisan,échoppe,artisan,r_own-1,test,Det,Def,non,
étal du poissonnier,étal,poissonnier,r_own-1,test,Det,Def,non,
camionnette du plombier,camionnette,plombier,r_own-1,test,Det,Def,non,
échelle du couvreur,échelle,couvreur,r_own-1,test,Det,Def,non,
sacoche du médecin,sacoche,médecin,r_own-1,test,Det,Def,non,
trousse de l'élève,trousse,élève,r_own-1,test,Det,Def,non,
