syntagme,A,B,relation,split,det,definitude,ambigu,candidats
pain du boulanger,pain,boulanger,r_product_of,train,Det,Def,non,
tarte de la pâtissière,tarte,pâtissière,r_product_of,train,Det,Def,non,
fromage du fromager,fromage,fromager,r_product_of,train,Det,Def,non,
saucisson du charcutier,saucisson,charcutier,r_product_of,train,Det,Def,non,
vin du vigneron,vin,vigneron,r_product_of,train,Det,Def,non,
bière du brasseur,bière,brasseur,r_product_of,train,Det,Def,non,
miel de l'apiculteur,miel,apiculteur,r_product_of,train,Det,Def,non,
confiture de la grand-mère,confiture,grand-mère,r_product_of,train,Det,Def,non,
sculpture du sculpteur,sculpture,sculpteur,r_product_of,train,Det,Def,non,
fresque du muraliste,fresque,muraliste,r_product_of,train,Det,Def,non,
roman de l'écrivain,roman,écrivain,r_product_of,train,Det,Def,non,
poème du poète,poème,poète,r_product_of,train,Det,Def,non,
symphonie du compositeur,symphonie,compositeur,r_product_of,train,Det,Def,non,
chanson de l'auteur,chanson,auteur,r_product_of,train,Det,Def,non,
film du réalisateur,film,réalisateur,r_product_of,train,Det,Def,non,
photographie du reporter,photographie,reporter,r_product_of,train,Det,Def,non,
toile du portraitiste,toile,portraitiste,r_product_of,train,Det,Def,non,
gravure du graveur,gravure,graveur,r_product_of,train,Det,Def,non,
bijou de l'orfèvre,bijou,orfèvre,r_product_of,train,Det,Def,non,
vase du potier,vase,potier,r_product_of,train,Det,Def,non,
tapis du tisserand,tapis,tisserand,r_product_of,train,Det,Def,non,
meuble de l'ébéniste,meuble,ébéniste,r_product_of,train,Det,Def,non,
chaise du menuisier,chaise,menuisier,r_product_of,train,Det,Def,non,
grille du ferronnier,grille,ferronnier,r_product_of,train,Det,Def,non,
vitrail du verrier,vitrail,verrier,r_product_of,train,Det,Def,non,
costume du tailleur,costume,tailleur,r_product_of,train,Det,Def,non,
robe de la couturière,robe,couturière,r_product_of,train,Det,Def,non,
chapeau de la modiste,chapeau,modiste,r_product_of,train,Det,Def,non,
chaussures du cordonnier,chaussures,cordonnier,r_product_of,train,Det,Def,non,
violon du luthier,violon,luthier,r_product_of,train,Det,Def,non,
horloge de l'horloger,horloge,horloger,r_product_of,train,Det,Def,non,
maquette du modéliste,maquette,modéliste,r_product_of,train,Det,Def,non,
plan de l'architecte,plan,architecte,r_product_of,train,Det,Def,non,
logiciel du développeur,logiciel,développeur,r_product_of,train,Det,Def,non,
théorème du mathématicien,théorème,mathématicien,r_product_of,train,Det,Def,non,
vaccin du laboratoire,vaccin,laboratoire,r_product_of,train,Det,Def,non,
voiture du constructeur,voiture,constructeur,r_product_of,train,Det,Def,non,
acier de l'aciérie,acier,aciérie,r_product_of,train,Det,Def,non,
papier de la papeterie,papier,papeterie,r_product_of,train,Det,Def,non,
ciment de la cimenterie,ciment,cimenterie,r_product_of,train,Det,Def,non,
tissu de la filature,tissu,filature,r_product_of,train,Det,Def,non,
lait de la vache,lait,vache,r_product_of,train,Det,Def,non,
œuf de la poule,œuf,poule,r_product_of,train,Det,Def,non,
laine du mouton,laine,mouton,r_product_of,train,Det,Def,non,
soie du ver,soie,ver,r_product_of,train,Det,Def,non,
cire des abeilles,cire,abeilles,r_product_of,train,Det,Def,non,
toile de l'araignée,toile,araignée,r_product_of,train,Det,Def,non,
venin du serpent,venin,serpent,r_product_of,train,Det,Def,non,
encre de la seiche,encre,seiche,r_product_of,train,Det,Def,non,
perle de l'huître,perle,huître,r_product_of,train,Det,Def,non,
croissant du boulanger,croissant,boulanger,r_product_of,test,Det,Def,non,
sauce du chef,sauce,chef,r_product_of,test,Det,Def,non,
plat du cuisinier,plat,cuisinier,r_product_of,test,Det,Def,non,
menu du restaurateur,menu,restaurateur,r_product_of,test,Det,Def,non,
cocktail du barman,cocktail,barman,r_product_of,test,Det,Def,non,
glace du glacier,glace,glacier,r_product_of,test,Det,Def,non,
chocolat du chocolatier,chocolat,chocolatier,r_product_of,test,Det,Def,non,
pâté du traiteur,pâté,traiteur,r_product_of,test,Det,Def,non,
huile du moulin,huile,moulin,r_product_of,test,Det,Def,non,
farine du meunier,farine,meunier,r_product_of,test,Det,Def,non,
brique de la briqueterie,brique,briqueterie,r_product_of,test,Det,Def,non,
poterie de l'artisan,poterie,artisan,r_product_of,test,Det,Def,non,
tableau du peintre,tableau,peintre,r_product_of,test,Det,Def,non,
dessin de l'illustrateur,dessin,illustrateur,r_product_of,test,Det,Def,non,
affiche du graphiste,affiche,graphiste,r_product_of,test,Det,Def,non,
statue du fondeur,statue,fondeur,r_product_of,test,Det,Def,non,
article du journaliste,article,journaliste,r_product_of,test,Det,Def,non,
rapport de l'expert,rapport,expert,r_product_of,test,Det,Def,non,
thèse du doctorant,thèse,doctorant,r_product_of,test,Det,Def,non,
traduction de l'interprète,traduction,interprète,r_product_of,test,Det,Def,non,
mélodie du musicien,mélodie,musicien,r_product_of,test,Det,Def,non,
album du groupe,album,groupe,r_product_of,test,Det,Def,non,
clip du vidéaste,clip,vidéaste,r_product_of,test,Det,Def,non,
jeu du studio,jeu,studio,r_product_of,test,Det,Def,non,
site du webmaster,site,webmaster,r_product_of,test,Det,Def,non,
prototype de l'ingénieur,prototype,ingénieur,r_product_of,test,Det,Def,non,
sérum de l'institut,sérum,institut,r_product_of,test,Det,Def,non,
yaourt de la laiterie,yaourt,laiterie,r_product_of,test,Det,Def,non,
sucre de la raffinerie,sucre,raffinerie,r_product_of,test,Det,Def,non,
nectar de la fleur,nectar,fleur,r_product_of,test,Det,Def,non,
