syntagme,A,B,relation,split,det,definitude,ambigu,candidats
père de la mariée,père,mariée,r_social_tie,train,Det,Def,non,
mère du champion,mère,champion,r_social_tie,train,Det,Def,non,
frère du roi,frère,roi,r_social_tie,train,Det,Def,non,
sœur de la victime,sœur,victime,r_social_tie,train,Det,Def,non,
cousin de l'accusé,cousin,accusé,r_social_tie,train,Det,Def,non,
oncle du garçon,oncle,garçon,r_social_tie,train,Det,Def,non,
grand-père de l'enfant,grand-père,enfant,r_social_tie,train,Det,Def,non,
fils du fermier,fils,fermier,r_social_tie,train,Det,Def,non,
fille du ministre,fille,ministre,r_social_tie,train,Det,Def,non,
veuve du soldat,veuve,soldat,r_social_tie,train,Det,Def,non,
époux de la reine,époux,reine,r_social_tie,train,Det,Def,non,
fiancée du capitaine,fiancée,capitaine,r_social_tie,train,Det,Def,non,
ami du président,ami,président,r_social_tie,train,Det,Def,non,
voisin de la famille,voisin,famille,r_social_tie,train,Det,Def,non,
collègue du directeur,collègue,directeur,r_social_tie,train,Det,Def,non,
patron des ouvriers,patron,ouvriers,r_social_tie,train,Det,Def,non,
chef de l'équipe,chef,équipe,r_social_tie,train,Det,Def,non,
capitaine de l'équipage,capitaine,équipage,r_social_tie,train,Det,Def,non,
entraîneur des joueurs,entraîneur,joueurs,r_social_tie,train,Det,Def,non,
professeur des élèves,professeur,élèves,r_social_tie,train,Det,Def,non,
tuteur de l'étudiant,tuteur,étudiant,r_social_tie,train,Det,Def,non,
mentor du débutant,mentor,débutant,r_social_tie,train,Det,Def,non,
avocat de l'accusé,avocat,accusé,r_social_tie,train,Det,Def,non,
défenseur des victimes,défenseur,victimes,r_social_tie,train,Det,Def,non,
procureur de la République,procureur,République,r_social_tie,train,Det,Def,non,
médecin de la famille,médecin,famille,r_social_tie,train,Det,Def,non,
infirmière du patient,infirmière,patient,r_social_tie,train,Det,Def,non,
nounou des jumeaux,nounou,jumeaux,r_social_tie,train,Det,Def,non,
gouvernante des enfants,gouvernante,enfants,r_social_tie,train,Det,Def,non,
parrain du filleul,parrain,filleul,r_social_tie,train,Det,Def,non,
marraine de la petite,marraine,petite,r_social_tie,train,Det,Def,non,
porte-parole du gouvernement,porte-parole,gouvernement,r_social_tie,train,Det,Def,non,
représentant des salariés,représentant,salariés,r_social_tie,train,Det,Def,non,
délégué de la classe,délégué,classe,r_social_tie,train,Det,Def,non,
syndic de la copropriété,syndic,copropriété,r_social_tie,train,Det,Def,non,
président du club,président,club,r_social_tie,train,Det,Def,non,
secrétaire de l'association,secrétaire,association,r_social_tie,train,Det,Def,non,
trésorier du comité,trésorier,comité,r_social_tie,train,Det,Def,non,
doyen de la faculté,doyen,faculté,r_social_tie,train,Det,Def,non,
recteur de l'académie,recteur,académie,r_social_tie,train,Det,Def,non,
maire de la commune,maire,commune,r_social_tie,train,Det,Def,non,
chef du village,chef,village,r_social_tie,train,Det,Def,non,
roi des Belges,roi,Belges,r_social_tie,train,Det,Def,non,
empereur des Français,empereur,Français,r_social_tie,train,Det,Def,non,
berger du troupeau,berger,troupeau,r_social_tie,train,Det,Def,non,
maître du chien,maître,chien,r_social_tie,train,Det,Def,non,
bailleur du locataire,bailleur,locataire,r_social_tie,train,Det,Def,non,
employeur du stagiaire,employeur,stagiaire,r_social_tie,train,Det,Def,non,
client de l'agence,client,agence,r_social_tie,train,Det,Def,non,
partenaire de l'entreprise,partenaire,entreprise,r_social_tie,train,Det,Def,non,
beau-père de la jeune femme,beau-père,jeune femme,r_social_tie,test,Det,Def,non,
belle-sœur du marié,belle-sœur,marié,r_social_tie,test,Det,Def,non,
neveu de la comtesse,neveu,comtesse,r_social_tie,test,Det,Def,non,
filleul du parrain,filleul,parrain,r_social_tie,test,Det,Def,non,
héritier du baron,héritier,baron,r_social_tie,test,Det,Def,non,
rival du champion,rival,champion,r_social_tie,test,Det,Def,non,
adversaire du candidat,adversaire,candidat,r_social_tie,test,Det,Def,non,
allié du souverain,allié,souverain,r_social_tie,test,Det,Def,non,
complice du voleur,complice,voleur,r_social_tie,test,Det,Def,non,
témoin de l'accusé,témoin,accusé,r_social_tie,test,Det,Def,non,
juge des enfants,juge,enfants,r_social_tie,test,Det,Def,non,
tuteur des orphelins,tuteur,orphelins,r_social_tie,test,Det,Def,non,
assistante du député,assistante,député,r_social_tie,test,Det,Def,non,
conseiller du prince,conseiller,prince,r_social_tie,test,Det,Def,non,
chauffeur du ministre,chauffeur,ministre,r_social_tie,test,Det,Def,non,
secrétaire du notaire,secrétaire,notaire,r_social_tie,test,Det,Def,non,
apprenti du forgeron,apprenti,forgeron,r_social_tie,test,Det,Def,non,
disciple du maître,disciple,maître,r_social_tie,test,Det,Def,non,
élève du violoniste,élève,violoniste,r_social_tie,test,Det,Def,non,
successeur du fondateur,successeur,fondateur,r_social_tie,test,Det,Def,non,
remplaçant du gardien,remplaçant,gardien,r_social_tie,test,Det,Def,non,
porte-parole des grévistes,porte-parole,grévistes,r_social_tie,test,Det,Def,non,
interprète de la délégation,interprète,délégation,r_social_tie,test,Det,Def,non,
capitaine des pompiers,capitaine,pompiers,r_social_tie,test,Det,Def,non,
colonel du régiment,colonel,régiment,r_social_tie,test,Det,Def,non,
commandant de la garnison,commandant,garnison,r_social_tie,test,Det,Def,non,
directeur du personnel,directeur,personnel,r_social_tie,test,Det,Def,non,
responsable des stagiaires,responsable,stagiaires,r_social_tie,test,Det,Def,non,
correspondant de la presse,correspondant,presse,r_social_tie,test,Det,Def,non,
ambassadeur de la France,ambassadeur,France,r_social_tie,test,Det,Def,non,
