dégâts de l'inondation ; r_has_causatif
larmes de joie ; r_has_causatif
séquelles de l'accident ; r_has_causatif
courbatures de l'entraînement ; r_has_causatif
décombres du séisme ; r_has_causatif
cris de douleur ; r_has_causatif
fatigue du voyage ; r_has_causatif
cloques de la brûlure ; r_has_causatif
perturbations de la grève ; r_has_causatif
ivresse du champagne ; r_has_causatif
symptômes de la grippe ; r_has_causatif
taches de peinture ; r_has_causatif
ravages de la guerre ; r_has_causatif
frissons de froid ; r_has_causatif
stress des examens ; r_has_causatif
cendres de l'incendie ; r_has_causatif
bénéfices de la vente ; r_has_causatif
fractures de la chute ; r_has_causatif
rougeur de honte ; r_has_causatif
inondations de la mousson ; r_has_causatif
chagrin de la rupture ; r_has_causatif
acouphènes du concert ; r_has_causatif
dettes de jeu ; r_has_causatif
traces de pneus ; r_has_causatif
souffle de l'explosion ; r_has_causatif
sueur de l'effort ; r_has_causatif
hallucinations de la fièvre ; r_has_causatif
désordre de la fête ; r_has_causatif
cratère de la météorite ; r_has_causatif
euphorie du succès ; r_has_causatif
poussière des travaux ; r_has_causatif
ampoules de la marche ; r_has_causatif
obésité de la malbouffe ; r_has_causatif
émeutes de la faim ; r_has_causatif
hématome du choc ; r_has_causatif
avaries de la tempête ; r_has_causatif
déshydratation de la canicule ; r_has_causatif
rides de l'âge ; r_has_causatif
retombées du scandale ; r_has_causatif
bleus de la bagarre ; r_has_causatif
incendies de la sécheresse ; r_has_causatif
brûlures du soleil ; r_has_causatif
épuisement du surmenage ; r_has_causatif
résultats de l'expérience ; r_has_causatif
démangeaisons de la varicelle ; r_has_causatif
odeurs de la cuisson ; r_has_causatif
pertes du krach ; r_has_causatif
amertume de la défaite ; r_has_causatif
flaques de la pluie ; r_has_causatif
somnolence de l'anesthésie ; r_has_causatif
blessures de guerre ; r_has_causatif
nuisances du chantier ; r_has_causatif
exode du conflit ; r_has_causatif
buée de la douche ; r_has_causatif
joie des retrouvailles ; r_has_causatif
tremblements de peur ; r_has_causatif
dommages de la grêle ; r_has_causatif
éblouissement des phares ; r_has_causatif
remords de la trahison ; r_has_causatif
caries du sucre ; r_has_causatif
ennui du confinement ; r_has_causatif
fissures du gel ; r_has_causatif
sanctions de la fraude ; r_has_causatif
incendie du court-circuit ; r_has_causatif
paralysie de l'AVC ; r_has_causatif
gerçures de l'hiver ; r_has_causatif
vibrations du métro ; r_has_causatif
brouille du malentendu ; r_has_causatif
détritus du festival ; r_has_causatif
bronzage de l'été ; r_has_causatif
traumatisme de l'attentat ; r_has_causatif
cicatrice de l'opération ; r_has_causatif
gloire de la victoire ; r_has_causatif
conséquences de la crise ; r_has_causatif
effets de l'alcool ; r_has_causatif
patine du temps ; r_has_causatif
cécité du glaucome ; r_has_causatif
suie de la combustion ; r_has_causatif
nausées de la grossesse ; r_has_causatif
retards de la circulation ; r_has_causatif
