générosité du mécène ; r_has_property-1
naïveté de l'enfant ; r_has_property-1
cruauté du tyran ; r_has_property-1
fragilité du cristal ; r_has_property-1
patience du pêcheur ; r_has_property-1
dureté du diamant ; r_has_property-1
timidité de l'adolescent ; r_has_property-1
blancheur de la neige ; r_has_property-1
humilité du moine ; r_has_property-1
profondeur du puits ; r_has_property-1
loyauté du chien ; r_has_property-1
amertume du café ; r_has_property-1
bravoure du pompier ; r_has_property-1
transparence de la vitre ; r_has_property-1
maladresse du stagiaire ; r_has_property-1
lenteur de l'escargot ; r_has_property-1
élégance de la danseuse ; r_has_property-1
hauteur de la tour ; r_has_property-1
discrétion du majordome ; r_has_property-1
souplesse du cuir ; r_has_property-1
sérénité du sage ; r_has_property-1
obscurité de la grotte ; r_has_property-1
froideur de l'accueil ; r_has_property-1
rapidité du guépard ; r_has_property-1
rigueur du comptable ; r_has_property-1
humidité de la cave ; r_has_property-1
sévérité du juge ; r_has_property-1
légèreté de la plume ; r_has_property-1
curiosité du chaton ; r_has_property-1
acidité du citron ; r_has_property-1
entêtement de la mule ; r_has_property-1
vétusté de l'immeuble ; r_has_property-1
politesse de l'hôte ; r_has_property-1
clarté du ciel ; r_has_property-1
malice du renard ; r_has_property-1
étroitesse de la ruelle ; r_has_property-1
férocité du loup ; r_has_property-1
propreté de la cuisine ; r_has_property-1
arrogance du champion ; r_has_property-1
solidité du pont ; r_has_property-1
ferveur des supporters ; r_has_property-1
complexité du problème ; r_has_property-1
prudence du conducteur ; r_has_property-1
richesse du vocabulaire ; r_has_property-1
témérité de l'alpiniste ; r_has_property-1
beauté d'un paysage ; r_has_property-1
gentillesse de la voisine ; r_has_property-1
fiabilité du moteur ; r_has_property-1
lâcheté du déserteur ; r_has_property-1
immensité du désert ; r_has_property-1
ténacité du chercheur ; r_has_property-1
finesse de la dentelle ; r_has_property-1
indulgence du professeur ; r_has_property-1
opacité du brouillard ; r_has_property-1
franchise de l'ami ; r_has_property-1
douceur du velours ; r_has_property-1
impatience du client ; r_has_property-1
largeur de la route ; r_has_property-1
agilité du singe ; r_has_property-1
moiteur de l'air ; r_has_property-1
vivacité du poulain ; r_has_property-1
rugosité de l'écorce ; r_has_property-1
docilité de la jument ; r_has_property-1
exiguïté de la chambre ; r_has_property-1
bonté d'un inconnu ; r_has_property-1
luminosité de l'écran ; r_has_property-1
avarice de l'oncle ; r_has_property-1
sécheresse du sol ; r_has_property-1
majesté du cerf ; r_has_property-1
simplicité de la méthode ; r_has_property-1
voracité de la larve ; r_has_property-1
laideur du bâtiment ; r_has_property-1
tranquillité du quartier ; r_has_property-1
précision de l'horloge ; r_has_property-1
absurdité de la situation ; r_has_property-1
saleté du trottoir ; r_has_property-1
originalité du projet ; r_has_property-1
fraîcheur de la brise ; r_has_property-1
justesse de la note ; r_has_property-1
puissance de la machine ; r_has_property-1
