aile de l'avion ; r_holo
volant de la voiture ; r_holo
guidon du vélo ; r_holo
pédale du piano ; r_holo
clavier de l'ordinateur ; r_holo
écran du téléphone ; r_holo
toit de la maison ; r_holo
cheminée de l'usine ; r_holo
clocher de l'église ; r_holo
dôme de la basilique ; r_holo
marches de l'escalier ; r_holo
poignée de la porte ; r_holo
serrure du coffre ; r_holo
lame du couteau ; r_holo
manche de la hache ; r_holo
pointe de la flèche ; r_holo
corde de la guitare ; r_holo
touche de l'accordéon ; r_holo
roue du chariot ; r_holo
essieu de la remorque ; r_holo
moteur du bateau ; r_holo
gouvernail du navire ; r_holo
mât du voilier ; r_holo
voile de la goélette ; r_holo
ancre de la barque ; r_holo
branche de l'arbre ; r_holo
racine du chêne ; r_holo
feuille du platane ; r_holo
pétale de la rose ; r_holo
épine du rosier ; r_holo
écorce du bouleau ; r_holo
noyau de la pêche ; r_holo
pépin de la pomme ; r_holo
peau de la banane ; r_holo
aile du papillon ; r_holo
patte de l'araignée ; r_holo
carapace de la tortue ; r_holo
défense de l'éléphant ; r_holo
crinière du lion ; r_holo
bosse du chameau ; r_holo
nageoire du requin ; r_holo
bec du perroquet ; r_holo
plume du paon ; r_holo
queue du castor ; r_holo
sabot du cheval ; r_holo
corne du taureau ; r_holo
coquille de l'escargot ; r_holo
dard de l'abeille ; r_holo
mandibule de la fourmi ; r_holo
antenne du criquet ; r_holo
portière du camion ; r_holo
phare du scooter ; r_holo
selle de la moto ; r_holo
chaîne de la tronçonneuse ; r_holo
gâchette du pistolet ; r_holo
canon du fusil ; r_holo
cadran de la montre ; r_holo
aiguille de l'horloge ; r_holo
pile de la télécommande ; r_holo
objectif de la caméra ; r_holo
vitre du wagon ; r_holo
quai de la gare ; r_holo
piste de l'aéroport ; r_holo
pilier du pont ; r_holo
arche du viaduc ; r_holo
rambarde du balcon ; r_holo
volet de la fenêtre ; r_holo
tuile du toit ; r_holo
allée du jardin ; r_holo
chapitre du roman ; r_holo
strophe du poème ; r_holo
refrain de la chanson ; r_holo
scène du film ; r_holo
page du cahier ; r_holo
couverture du livre ; r_holo
index du dictionnaire ; r_holo
préface du recueil ; r_holo
semelle de la chaussure ; r_holo
col de la chemise ; r_holo
bouton du manteau ; r_holo
