table de chêne ; r_objet>matiere
statue de marbre ; r_objet>matiere
pull de laine ; r_objet>matiere
gobelet de plastique ; r_objet>matiere
poutre d'acier ; r_objet>matiere
chemise de coton ; r_objet>matiere
mur de brique ; r_objet>matiere
bague d'argent ; r_objet>matiere
vase d'argile ; r_objet>matiere
sac de cuir ; r_objet>matiere
portail de fer ; r_objet>matiere
bocal de verre ; r_objet>matiere
assiette de porcelaine ; r_objet>matiere
toit d'ardoise ; r_objet>matiere
escalier de pierre ; r_objet>matiere
foulard de soie ; r_objet>matiere
dalle de béton ; r_objet>matiere
tuyau de cuivre ; r_objet>matiere
boîte de carton ; r_objet>matiere
pneu de caoutchouc ; r_objet>matiere
bouchon de liège ; r_objet>matiere
statuette de bronze ; r_objet>matiere
cloison de plâtre ; r_objet>matiere
jouet de bois ; r_objet>matiere
panier d'osier ; r_objet>matiere
nappe de lin ; r_objet>matiere
rideau de velours ; r_objet>matiere
bougie de cire ; r_objet>matiere
peigne d'ivoire ; r_objet>matiere
chapeau de paille ; r_objet>matiere
comptoir de zinc ; r_objet>matiere
casserole d'aluminium ; r_objet>matiere
soldat de plomb ; r_objet>matiere
couverts d'étain ; r_objet>matiere
pièce d'or ; r_objet>matiere
fauteuil de rotin ; r_objet>matiere
échelle de bambou ; r_objet>matiere
sol de carrelage ; r_objet>matiere
mur de torchis ; r_objet>matiere
bol de faïence ; r_objet>matiere
pot de terre cuite ; r_objet>matiere
tapis de jute ; r_objet>matiere
chaussures de daim ; r_objet>matiere
veste de tweed ; r_objet>matiere
sculpture de glace ; r_objet>matiere
château de sable ; r_objet>matiere
collier de nacre ; r_objet>matiere
manche de corne ; r_objet>matiere
pommeau de jade ; r_objet>matiere
bonhomme de neige ; r_objet>matiere
charpente de sapin ; r_objet>matiere
armoire de noyer ; r_objet>matiere
buffet d'acajou ; r_objet>matiere
colonne de granit ; r_objet>matiere
poêle de fonte ; r_objet>matiere
blouse de polyester ; r_objet>matiere
sac de toile ; r_objet>matiere
chapeau de feutre ; r_objet>matiere
corde de chanvre ; r_objet>matiere
tablier de vinyle ; r_objet>matiere
lampe d'albâtre ; r_objet>matiere
mosaïque de céramique ; r_objet>matiere
gâteau de riz ; r_objet>matiere
galette de sarrasin ; r_objet>matiere
mur de pisé ; r_objet>matiere
fil de nylon ; r_objet>matiere
flacon de cristal ; r_objet>matiere
boucle de laiton ; r_objet>matiere
lanterne de papier ; r_objet>matiere
manche d'os ; r_objet>matiere
bijou de corail ; r_objet>matiere
coque de plexiglas ; r_objet>matiere
évier d'inox ; r_objet>matiere
monture de titane ; r_objet>matiere
emballage de polystyrène ; r_objet>matiere
écharpe de cachemire ; r_objet>matiere
robe de satin ; r_objet>matiere
matelas de mousse ; r_objet>matiere
revêtement de linoléum ; r_objet>matiere
brosse de crin ; r_objet>matiere
