voiture du voisin ; r_own-1
maison des parents ; r_own-1
guitare du musicien ; r_own-1
ordinateur de l'étudiant ; r_own-1
chaussures de la danseuse ; r_own-1
valise de la touriste ; r_own-1
montre du banquier ; r_own-1
bateau du pêcheur ; r_own-1
tracteur du fermier ; r_own-1
camion du transporteur ; r_own-1
chien du berger ; r_own-1
cheval du cavalier ; r_own-1
troupeau de l'éleveur ; r_own-1
boutique du fleuriste ; r_own-1
atelier du menuisier ; r_own-1
outils du bricoleur ; r_own-1
clés du gardien ; r_own-1
bureau du directeur ; r_own-1
cabinet de l'avocat ; r_own-1
ferme du paysan ; r_own-1
terres du propriétaire ; r_own-1
jardin de la retraitée ; r_own-1
vélo du facteur ; r_own-1
scooter du livreur ; r_own-1
casque du motard ; r_own-1
planche du surfeur ; r_own-1
skis du moniteur ; r_own-1
raquette de la championne ; r_own-1
gants du boxeur ; r_own-1
maillot du coureur ; r_own-1
sac du randonneur ; r_own-1
tente du campeur ; r_own-1
jumelles de l'ornithologue ; r_own-1
appareil du photographe ; r_own-1
micro du chanteur ; r_own-1
violon de la soliste ; r_own-1
archet du violoniste ; r_own-1
pinceaux du peintre ; r_own-1
chevalet de l'artiste ; r_own-1
four du boulanger ; r_own-1
couteaux du cuisinier ; r_own-1
tablier du serveur ; r_own-1
caisse du commerçant ; r_own-1
coffre du bijoutier ; r_own-1
livres du professeur ; r_own-1
cartable de l'écolier ; r_own-1
cahier de la lycéenne ; r_own-1
jouets de l'enfant ; r_own-1
canne du vieillard ; r_own-1
lunettes de la grand-mère ; r_own-1
portefeuille du client ; r_own-1
carte du voyageur ; r_own-1
passeport du diplomate ; r_own-1
uniforme du pilote ; r_own-1
badge de l'employé ; r_own-1
ordinateur du développeur ; r_own-1
téléphone de l'adolescente ; r_own-1
écouteurs du passager ; r_own-1
parapluie de la promeneuse ; r_own-1
manteau de l'invité ; r_own-1
bijoux de la comtesse ; r_own-1
bague de la mariée ; r_own-1
collier de la duchesse ; r_own-1
domaine du vigneron ; r_own-1
cave du sommelier ; r_own-1
bibliothèque du collectionneur ; r_own-1
tableaux du mécène ; r_own-1
yacht de l'armateur ; r_own-1
jet du milliardaire ; r_own-1
chevaux de l'écuyer ; r_own-1
meute du chasseur ; r_own-1
ruches de l'apiculteur ; r_own-1
barque du passeur ; r_own-1
charrette du marchand ; r_own-1
échoppe de l'artisan ; r_own-1
étal du poissonnier ; r_own-1
camionnette du plombier ; r_own-1
échelle du couvreur ; r_own-1
sacoche du médecin ; r_own-1
trousse de l'élève ; r_own-1
