discours du président ; r_processus_agent
plaidoirie de l'avocat ; r_processus_agent
opération du chirurgien ; r_processus_agent
concert du pianiste ; r_processus_agent
course du sprinteur ; r_processus_agent
intervention du policier ; r_processus_agent
prêche de l'imam ; r_processus_agent
sermon du curé ; r_processus_agent
conférence du chercheur ; r_processus_agent
leçon de l'instituteur ; r_processus_agent
fouille de l'archéologue ; r_processus_agent
plongée du scaphandrier ; r_processus_agent
envol de la cigogne ; r_processus_agent
migration des hirondelles ; r_processus_agent
galop du cheval ; r_processus_agent
aboiement du chien ; r_processus_agent
rugissement du lion ; r_processus_agent
chant du rossignol ; r_processus_agent
morsure du serpent ; r_processus_agent
piqûre du moustique ; r_processus_agent
danse de la ballerine ; r_processus_agent
performance de l'acrobate ; r_processus_agent
numéro du clown ; r_processus_agent
tournée du chanteur ; r_processus_agent
grève des cheminots ; r_processus_agent
manifestation des étudiants ; r_processus_agent
vote des députés ; r_processus_agent
décision du juge ; r_processus_agent
enquête de l'inspecteur ; r_processus_agent
diagnostic du médecin ; r_processus_agent
plaidoyer du militant ; r_processus_agent
négociation du syndicat ; r_processus_agent
inspection du contrôleur ; r_processus_agent
audit du commissaire ; r_processus_agent
livraison du coursier ; r_processus_agent
réparation du plombier ; r_processus_agent
construction des maçons ; r_processus_agent
récolte des vendangeurs ; r_processus_agent
semis de l'agriculteur ; r_processus_agent
traite du fermier ; r_processus_agent
pêche des marins ; r_processus_agent
patrouille des gendarmes ; r_processus_agent
entraînement de l'équipe ; r_processus_agent
offensive de l'armée ; r_processus_agent
retraite des troupes ; r_processus_agent
ponte de la poule ; r_processus_agent
nidification des oiseaux ; r_processus_agent
hibernation de l'ours ; r_processus_agent
mue du crabe ; r_processus_agent
croissance des plantes ; r_processus_agent
commentaire du journaliste ; r_processus_agent
reportage du correspondant ; r_processus_agent
examen de l'expert ; r_processus_agent
explication du professeur ; r_processus_agent
démonstration du vendeur ; r_processus_agent
promesse du candidat ; r_processus_agent
démission du directeur ; r_processus_agent
arbitrage de l'arbitre ; r_processus_agent
saut du kangourou ; r_processus_agent
nage du dauphin ; r_processus_agent
vol du bourdon ; r_processus_agent
course de la gazelle ; r_processus_agent
attaque du requin ; r_processus_agent
travail des abeilles ; r_processus_agent
creusement de la taupe ; r_processus_agent
marche des fourmis ; r_processus_agent
sommeil du nourrisson ; r_processus_agent
pleurs du bébé ; r_processus_agent
rires des enfants ; r_processus_agent
applaudissements du public ; r_processus_agent
huées de la foule ; r_processus_agent
prière des fidèles ; r_processus_agent
procession des pèlerins ; r_processus_agent
défilé des soldats ; r_processus_agent
charge de la cavalerie ; r_processus_agent
ruée des supporters ; r_processus_agent
allocution de la reine ; r_processus_agent
signature du notaire ; r_processus_agent
inauguration du maire ; r_processus_agent
sauvetage des secouristes ; r_processus_agent
