père de la mariée ; r_social_tie
mère du champion ; r_social_tie
frère du roi ; r_social_tie
sœur de la victime ; r_social_tie
cousin de l'accusé ; r_social_tie
oncle du garçon ; r_social_tie
grand-père de l'enfant ; r_social_tie
fils du fermier ; r_social_tie
fille du ministre ; r_social_tie
veuve du soldat ; r_social_tie
époux de la reine ; r_social_tie
fiancée du capitaine ; r_social_tie
ami du président ; r_social_tie
voisin de la famille ; r_social_tie
collègue du directeur ; r_social_tie
patron des ouvriers ; r_social_tie
chef de l'équipe ; r_social_tie
capitaine de l'équipage ; r_social_tie
entraîneur des joueurs ; r_social_tie
professeur des élèves ; r_social_tie
tuteur de l'étudiant ; r_social_tie
mentor du débutant ; r_social_tie
avocat de l'accusé ; r_social_tie
défenseur des victimes ; r_social_tie
procureur de la République ; r_social_tie
médecin de la famille ; r_social_tie
infirmière du patient ; r_social_tie
nounou des jumeaux ; r_social_tie
gouvernante des enfants ; r_social_tie
parrain du filleul ; r_social_tie
marraine de la petite ; r_social_tie
porte-parole du gouvernement ; r_social_tie
représentant des salariés ; r_social_tie
délégué de la classe ; r_social_tie
syndic de la copropriété ; r_social_tie
président du club ; r_social_tie
secrétaire de l'association ; r_social_tie
trésorier du comité ; r_social_tie
doyen de la faculté ; r_social_tie
recteur de l'académie ; r_social_tie
maire de la commune ; r_social_tie
chef du village ; r_social_tie
roi des Belges ; r_social_tie
empereur des Français ; r_social_tie
berger du troupeau ; r_social_tie
maître du chien ; r_social_tie
bailleur du locataire ; r_social_tie
employeur du stagiaire ; r_social_tie
client de l'agence ; r_social_tie
partenaire de l'entreprise ; r_social_tie
beau-père de la jeune femme ; r_social_tie
belle-sœur du marié ; r_social_tie
neveu de la comtesse ; r_social_tie
filleul du parrain ; r_social_tie
héritier du baron ; r_social_tie
rival du champion ; r_social_tie
adversaire du candidat ; r_social_tie
allié du souverain ; r_social_tie
complice du voleur ; r_social_tie
témoin de l'accusé ; r_social_tie
juge des enfants ; r_social_tie
tuteur des orphelins ; r_social_tie
assistante du député ; r_social_tie
conseiller du prince ; r_social_tie
chauffeur du ministre ; r_social_tie
secrétaire du notaire ; r_social_tie
apprenti du forgeron ; r_social_tie
disciple du maître ; r_social_tie
élève du violoniste ; r_social_tie
successeur du fondateur ; r_social_tie
remplaçant du gardien ; r_social_tie
porte-parole des grévistes ; r_social_tie
interprète de la délégation ; r_social_tie
capitaine des pompiers ; r_social_tie
colonel du régiment ; r_social_tie
commandant de la garnison ; r_social_tie
directeur du personnel ; r_social_tie
responsable des stagiaires ; r_social_tie
correspondant de la presse ; r_social_tie
ambassadeur de la France ; r_social_tie
