photo d'un mariage ; r_depict
peinture d'une cathédrale ; r_depict
portrait d'une reine ; r_depict
dessin d'un cheval ; r_depict
croquis d'une main ; r_depict
statue d'un lion ; r_depict
buste d'un empereur ; r_depict
gravure d'un navire ; r_depict
fresque d'une bataille ; r_depict
esquisse d'un visage ; r_depict
caricature d'un député ; r_depict
aquarelle d'un jardin ; r_depict
maquette d'un stade ; r_depict
plan d'un appartement ; r_depict
carte d'une région ; r_depict
schéma d'un moteur ; r_depict
diagramme d'un circuit ; r_depict
illustration d'un conte ; r_depict
vignette d'une scène ; r_depict
photographie d'un glacier ; r_depict
vidéo d'un accident ; r_depict
enregistrement d'un discours ; r_depict
film d'une cérémonie ; r_depict
sculpture d'une danseuse ; r_depict
mosaïque d'une déesse ; r_depict
vitrail d'un saint ; r_depict
icône d'une vierge ; r_depict
effigie d'un roi ; r_depict
médaillon d'un enfant ; r_depict
silhouette de la ville ; r_depict
pastel d'une falaise ; r_depict
fusain d'un arbre ; r_depict
miniature d'une caravelle ; r_depict
bas-relief d'une procession ; r_depict
moulage d'un crâne ; r_depict
estampe d'une vague ; r_depict
radiographie d'une épaule ; r_depict
échographie d'un fœtus ; r_depict
scanner du genou ; r_depict
cliché d'une éclipse ; r_depict
tableau d'une tempête ; r_depict
toile d'un port ; r_depict
reconstitution d'un dinosaure ; r_depict
figurine d'un soldat ; r_depict
marionnette d'un dragon ; r_depict
masque d'un démon ; r_depict
totem d'un aigle ; r_depict
blason d'une famille ; r_depict
timbre d'une locomotive ; r_depict
tapisserie d'une chasse ; r_depict
photo d'une manifestation ; r_depict
portrait d'une vieille dame ; r_depict
dessin d'une maison ; r_depict
statue d'une nymphe ; r_depict
croquis d'un pont ; r_depict
maquette d'un avion ; r_depict
plan d'un quartier ; r_depict
carte d'un archipel ; r_depict
schéma d'une cellule ; r_depict
illustration d'une légende ; r_depict
vidéo d'un but ; r_depict
enregistrement d'un concert ; r_depict
gravure de l'éruption ; r_depict
sculpture d'un taureau ; r_depict
vitrail d'une colombe ; r_depict
mosaïque d'un dauphin ; r_depict
buste d'un philosophe ; r_depict
caricature d'un banquier ; r_depict
aquarelle d'une barque ; r_depict
pastel d'une rivière ; r_depict
esquisse d'une robe ; r_depict
miniature d'un château ; r_depict
moulage d'une statue ; r_depict
radiographie d'un poumon ; r_depict
IRM d'un cerveau ; r_depict
film d'une évasion ; r_depict
reconstitution d'un crime ; r_depict
figurine d'un chevalier ; r_depict
icône d'un archange ; r_depict
effigie d'un pharaon ; r_depict
