fromage de Hollande ; r_lieu>origine
café de Colombie ; r_lieu>origine
riz de Camargue ; r_lieu>origine
thé de Ceylan ; r_lieu>origine
soie de Chine ; r_lieu>origine
tapis d'Iran ; r_lieu>origine
olives de Grèce ; r_lieu>origine
dattes de Tunisie ; r_lieu>origine
oranges du Maroc ; r_lieu>origine
bananes des Antilles ; r_lieu>origine
rhum de Martinique ; r_lieu>origine
whisky d'Écosse ; r_lieu>origine
bière de Belgique ; r_lieu>origine
chocolat de Suisse ; r_lieu>origine
montres de Genève ; r_lieu>origine
porcelaine de Limoges ; r_lieu>origine
dentelle de Calais ; r_lieu>origine
moutarde de Dijon ; r_lieu>origine
jambon de Parme ; r_lieu>origine
nougat de Montélimar ; r_lieu>origine
savon de Marseille ; r_lieu>origine
couteaux de Thiers ; r_lieu>origine
cristal de Bohême ; r_lieu>origine
verre de Murano ; r_lieu>origine
marbre de Carrare ; r_lieu>origine
granit de Bretagne ; r_lieu>origine
lavande de Provence ; r_lieu>origine
melons de Cavaillon ; r_lieu>origine
fraises de Plougastel ; r_lieu>origine
pruneaux d'Agen ; r_lieu>origine
poulet de Bresse ; r_lieu>origine
huîtres de Marennes ; r_lieu>origine
moules d'Espagne ; r_lieu>origine
saumon de Norvège ; r_lieu>origine
morue de Terre-Neuve ; r_lieu>origine
caviar de la Caspienne ; r_lieu>origine
épices de Zanzibar ; r_lieu>origine
vanille de Madagascar ; r_lieu>origine
cacao de Côte d'Ivoire ; r_lieu>origine
sucre de Cuba ; r_lieu>origine
tabac de Virginie ; r_lieu>origine
coton d'Égypte ; r_lieu>origine
laine d'Australie ; r_lieu>origine
cuir d'Italie ; r_lieu>origine
charbon de Lorraine ; r_lieu>origine
pétrole du Golfe ; r_lieu>origine
émeraudes de Zambie ; r_lieu>origine
diamants d'Afrique du Sud ; r_lieu>origine
or du Klondike ; r_lieu>origine
argile de Vallauris ; r_lieu>origine
estampes du Japon ; r_lieu>origine
tulipes des Pays-Bas ; r_lieu>origine
chevaux d'Arabie ; r_lieu>origine
tigres du Bengale ; r_lieu>origine
chat de Perse ; r_lieu>origine
berger d'Anatolie ; r_lieu>origine
kiwis de Nouvelle-Zélande ; r_lieu>origine
avocats du Mexique ; r_lieu>origine
quinoa du Pérou ; r_lieu>origine
maté d'Argentine ; r_lieu>origine
café d'Éthiopie ; r_lieu>origine
bois de Guyane ; r_lieu>origine
acajou du Honduras ; r_lieu>origine
ananas de Hawaï ; r_lieu>origine
cigares de La Havane ; r_lieu>origine
tequila de Jalisco ; r_lieu>origine
vodka de Pologne ; r_lieu>origine
caviar de Russie ; r_lieu>origine
ambre de la Baltique ; r_lieu>origine
fourrure de Sibérie ; r_lieu>origine
tapis de Turquie ; r_lieu>origine
safran du Cachemire ; r_lieu>origine
thé d'Assam ; r_lieu>origine
curry de Madras ; r_lieu>origine
mangues d'Inde ; r_lieu>origine
papyrus du Nil ; r_lieu>origine
figues de Smyrne ; r_lieu>origine
raisins de Corinthe ; r_lieu>origine
vin de Bordeaux ; r_lieu>origine
eau d'Évian ; r_lieu>origine
