couteau de découpe ; r_processus>instr-1
poste de soudure ; r_processus>instr-1
pinceau de peinture ; r_processus>instr-1
papier de ponçage ; r_processus>instr-1
trépan de forage ; r_processus>instr-1
tuyau d'arrosage ; r_processus>instr-1
produit de nettoyage ; r_processus>instr-1
gel de lavage ; r_processus>instr-1
étendoir de séchage ; r_processus>instr-1
table de repassage ; r_processus>instr-1
plaque de cuisson ; r_processus>instr-1
lame de coupe ; r_processus>instr-1
sécateur de taille ; r_processus>instr-1
ruban de mesure ; r_processus>instr-1
balance de pesage ; r_processus>instr-1
pompe de relevage ; r_processus>instr-1
palan de levage ; r_processus>instr-1
clé de serrage ; r_processus>instr-1
mèche de perçage ; r_processus>instr-1
tournevis de vissage ; r_processus>instr-1
plaquette de freinage ; r_processus>instr-1
lampe d'éclairage ; r_processus>instr-1
chaudière de chauffage ; r_processus>instr-1
cartouche de filtrage ; r_processus>instr-1
broyeur de déchets ; r_processus>instr-1
film d'emballage ; r_processus>instr-1
bac de tri ; r_processus>instr-1
camion de transport ; r_processus>instr-1
gilet de sauvetage ; r_processus>instr-1
trousse de secours ; r_processus>instr-1
corde d'escalade ; r_processus>instr-1
masque de plongée ; r_processus>instr-1
filet de pêche ; r_processus>instr-1
fusil de chasse ; r_processus>instr-1
aiguille de couture ; r_processus>instr-1
métier de tissage ; r_processus>instr-1
gants de jardinage ; r_processus>instr-1
balai de ménage ; r_processus>instr-1
règle de calcul ; r_processus>instr-1
stylo d'écriture ; r_processus>instr-1
crayon de dessin ; r_processus>instr-1
écran de projection ; r_processus>instr-1
micro d'enregistrement ; r_processus>instr-1
grille de ventilation ; r_processus>instr-1
embout d'aspiration ; r_processus>instr-1
badge d'accès ; r_processus>instr-1
clé de la porte ; r_processus>instr-1
télécommande du portail ; r_processus>instr-1
clé du cadenas ; r_processus>instr-1
code du coffre ; r_processus>instr-1
ciseaux d'élagage ; r_processus>instr-1
clou de fixation ; r_processus>instr-1
vis d'assemblage ; r_processus>instr-1
agrafe de reliure ; r_processus>instr-1
louche de service ; r_processus>instr-1
verre de dégustation ; r_processus>instr-1
tire-bouchon de la bouteille ; r_processus>instr-1
ouvre-boîte de conserve ; r_processus>instr-1
essoreuse de salade ; r_processus>instr-1
planche de découpe ; r_processus>instr-1
mortier de broyage ; r_processus>instr-1
passoire d'égouttage ; r_processus>instr-1
entonnoir de remplissage ; r_processus>instr-1
seringue d'injection ; r_processus>instr-1
stéthoscope d'auscultation ; r_processus>instr-1
scalpel d'incision ; r_processus>instr-1
attelle d'immobilisation ; r_processus>instr-1
béquille de marche ; r_processus>instr-1
lunettes de lecture ; r_processus>instr-1
loupe d'observation ; r_processus>instr-1
microscope d'analyse ; r_processus>instr-1
tamis de filtration ; r_processus>instr-1
pipette de dosage ; r_processus>instr-1
éprouvette de titrage ; r_processus>instr-1
détecteur de fumée ; r_processus>instr-1
extincteur d'incendie ; r_processus>instr-1
alarme d'intrusion ; r_processus>instr-1
caméra de surveillance ; r_processus>instr-1
radar de contrôle ; r_processus>instr-1
sonde de température ; r_processus>instr-1
