ouverture de la fenêtre ; r_processus_patient
fermeture du magasin ; r_processus_patient
destruction du village ; r_processus_patient
démolition de l'immeuble ; r_processus_patient
construction du barrage ; r_processus_patient
rénovation de la façade ; r_processus_patient
réparation d'un moteur ; r_processus_patient
nettoyage des vitres ; r_processus_patient
lavage de la voiture ; r_processus_patient
taille des rosiers ; r_processus_patient
tonte d'une pelouse ; r_processus_patient
élagage des arbres ; r_processus_patient
récolte du blé ; r_processus_patient
cueillette des fraises ; r_processus_patient
broyage des olives ; r_processus_patient
découpe de la viande ; r_processus_patient
cuisson du riz ; r_processus_patient
congélation des légumes ; r_processus_patient
fonte du beurre ; r_processus_patient
séchage du linge ; r_processus_patient
repassage des chemises ; r_processus_patient
tri des déchets ; r_processus_patient
recyclage du plastique ; r_processus_patient
traitement des eaux ; r_processus_patient
filtrage de l'air ; r_processus_patient
raffinage du pétrole ; r_processus_patient
extraction du charbon ; r_processus_patient
forage du puits ; r_processus_patient
creusement du tunnel ; r_processus_patient
pavage de la route ; r_processus_patient
peinture du plafond ; r_processus_patient
vernissage du parquet ; r_processus_patient
polissage du marbre ; r_processus_patient
ponçage de la planche ; r_processus_patient
soudure des tuyaux ; r_processus_patient
assemblage des pièces ; r_processus_patient
emballage des colis ; r_processus_patient
livraison des marchandises ; r_processus_patient
vente de la maison ; r_processus_patient
achat du terrain ; r_processus_patient
location de l'appartement ; r_processus_patient
restauration d'un tableau ; r_processus_patient
numérisation des archives ; r_processus_patient
traduction du roman ; r_processus_patient
correction des copies ; r_processus_patient
relecture d'un manuscrit ; r_processus_patient
publication de l'article ; r_processus_patient
diffusion du film ; r_processus_patient
annulation d'un concert ; r_processus_patient
report d'une réunion ; r_processus_patient
évacuation du stade ; r_processus_patient
inondation des caves ; r_processus_patient
stérilisation des instruments ; r_processus_patient
vaccination des troupeaux ; r_processus_patient
ferrage du cheval ; r_processus_patient
dressage du chiot ; r_processus_patient
abattage du bétail ; r_processus_patient
plumage de la volaille ; r_processus_patient
écaillage d'un poisson ; r_processus_patient
pétrissage d'une pâte ; r_processus_patient
fermentation du raisin ; r_processus_patient
distillation de l'alcool ; r_processus_patient
torréfaction du café ; r_processus_patient
mouture des grains ; r_processus_patient
tamisage de la farine ; r_processus_patient
salage d'un jambon ; r_processus_patient
fumage du saumon ; r_processus_patient
macération des fruits ; r_processus_patient
embouteillage du vin ; r_processus_patient
étiquetage des bouteilles ; r_processus_patient
chargement du camion ; r_processus_patient
déchargement de la cargaison ; r_processus_patient
amarrage du bateau ; r_processus_patient
remorquage de l'épave ; r_processus_patient
démontage de l'échafaudage ; r_processus_patient
installation d'un logiciel ; r_processus_patient
compression des fichiers ; r_processus_patient
sauvegarde des données ; r_processus_patient
suppression du compte ; r_processus_patient
chiffrement des messages ; r_processus_patient
