pain du boulanger ; r_product_of
tarte d'une pâtissière ; r_product_of
fromage d'un fromager ; r_product_of
saucisson du charcutier ; r_product_of
vin du vigneron ; r_product_of
bière du brasseur ; r_product_of
miel de l'apiculteur ; r_product_of
confiture de la grand-mère ; r_product_of
sculpture du sculpteur ; r_product_of
fresque du muraliste ; r_product_of
roman de l'écrivain ; r_product_of
poème d'un poète ; r_product_of
symphonie du compositeur ; r_product_of
chanson de l'auteur ; r_product_of
film du réalisateur ; r_product_of
photographie d'un reporter ; r_product_of
toile du portraitiste ; r_product_of
gravure d'un graveur ; r_product_of
bijou de l'orfèvre ; r_product_of
vase d'un potier ; r_product_of
tapis du tisserand ; r_product_of
meuble de l'ébéniste ; r_product_of
chaise du menuisier ; r_product_of
grille du ferronnier ; r_product_of
vitrail du verrier ; r_product_of
costume du tailleur ; r_product_of
robe de la couturière ; r_product_of
chapeau de la modiste ; r_product_of
chaussures du cordonnier ; r_product_of
violon du luthier ; r_product_of
horloge de l'horloger ; r_product_of
maquette du modéliste ; r_product_of
plan de l'architecte ; r_product_of
logiciel du développeur ; r_product_of
théorème du mathématicien ; r_product_of
vaccin du laboratoire ; r_product_of
voiture du constructeur ; r_product_of
acier de l'aciérie ; r_product_of
papier de la papeterie ; r_product_of
ciment de la cimenterie ; r_product_of
tissu de la filature ; r_product_of
lait de la vache ; r_product_of
œuf de la poule ; r_product_of
laine du mouton ; r_product_of
soie du ver ; r_product_of
cire des abeilles ; r_product_of
toile de l'araignée ; r_product_of
venin du serpent ; r_product_of
encre de la seiche ; r_product_of
perle de l'huître ; r_product_of
croissant du boulanger ; r_product_of
sauce du chef ; r_product_of
plat du cuisinier ; r_product_of
menu du restaurateur ; r_product_of
cocktail du barman ; r_product_of
glace du glacier ; r_product_of
chocolat du chocolatier ; r_product_of
pâté du traiteur ; r_product_of
huile du moulin ; r_product_of
farine d'un meunier ; r_product_of
brique de la briqueterie ; r_product_of
poterie de l'artisan ; r_product_of
tableau d'un peintre ; r_product_of
dessin de l'illustrateur ; r_product_of
affiche d'un graphiste ; r_product_of
statue d'un fondeur ; r_product_of
article du journaliste ; r_product_of
rapport de l'expert ; r_product_of
thèse du doctorant ; r_product_of
traduction de l'interprète ; r_product_of
mélodie du musicien ; r_product_of
album du groupe ; r_product_of
clip du vidéaste ; r_product_of
jeu du studio ; r_product_of
site du webmaster ; r_product_of
prototype de l'ingénieur ; r_product_of
sérum de l'institut ; r_product_of
yaourt de la laiterie ; r_product_of
sucre de la raffinerie ; r_product_of
nectar de la fleur ; r_product_of
