tranche de pain ; r_quantificateur
morceau de sucre ; r_quantificateur
grain de riz ; r_quantificateur
goutte d'eau ; r_quantificateur
pincée de sel ; r_quantificateur
cuillère de sirop ; r_quantificateur
verre de lait ; r_quantificateur
tasse de café ; r_quantificateur
bol de soupe ; r_quantificateur
assiette de pâtes ; r_quantificateur
louche de bouillon ; r_quantificateur
poignée de sable ; r_quantificateur
brassée de fleurs ; r_quantificateur
botte de radis ; r_quantificateur
gerbe de blé ; r_quantificateur
tas de bois ; r_quantificateur
pile de livres ; r_quantificateur
rame de papier ; r_quantificateur
bloc de glace ; r_quantificateur
barre de chocolat ; r_quantificateur
plaque de beurre ; r_quantificateur
pain de savon ; r_quantificateur
pot de miel ; r_quantificateur
bocal de confiture ; r_quantificateur
sac de ciment ; r_quantificateur
caisse de pommes ; r_quantificateur
cageot de tomates ; r_quantificateur
filet d'oranges ; r_quantificateur
bouquet de persil ; r_quantificateur
touffe d'herbe ; r_quantificateur
flaque d'huile ; r_quantificateur
nuage de lait ; r_quantificateur
doigt de vin ; r_quantificateur
litre d'essence ; r_quantificateur
kilo de farine ; r_quantificateur
tonne d'acier ; r_quantificateur
mètre de tissu ; r_quantificateur
hectare de vigne ; r_quantificateur
heure de route ; r_quantificateur
minute de silence ; r_quantificateur
journée de travail ; r_quantificateur
semaine de vacances ; r_quantificateur
mois de loyer ; r_quantificateur
année de service ; r_quantificateur
siècle d'histoire ; r_quantificateur
dizaine d'élèves ; r_quantificateur
centaine de manifestants ; r_quantificateur
millier de spectateurs ; r_quantificateur
paire de chaussettes ; r_quantificateur
douzaine d'œufs ; r_quantificateur
bouchée de gâteau ; r_quantificateur
lampée de cidre ; r_quantificateur
gorgée de thé ; r_quantificateur
miette de pain ; r_quantificateur
copeau de bois ; r_quantificateur
flocon de neige ; r_quantificateur
brin de paille ; r_quantificateur
mèche de cheveux ; r_quantificateur
boule de glace ; r_quantificateur
tranche de jambon ; r_quantificateur
quartier d'orange ; r_quantificateur
gousse d'ail ; r_quantificateur
tête de laitue ; r_quantificateur
épi de maïs ; r_quantificateur
rangée de sièges ; r_quantificateur
série de questions ; r_quantificateur
salve d'applaudissements ; r_quantificateur
rafale de vent ; r_quantificateur
volée de marches ; r_quantificateur
troupeau de vaches ; r_quantificateur
banc de poissons ; r_quantificateur
essaim d'abeilles ; r_quantificateur
nuée d'insectes ; r_quantificateur
meute de loups ; r_quantificateur
vol d'oies ; r_quantificateur
foule de curieux ; r_quantificateur
monceau de ferraille ; r_quantificateur
stock de pièces ; r_quantificateur
lot de vêtements ; r_quantificateur
dose de courage ; r_quantificateur
