syntagme,A,B,relation,split,det,definitude,ambigu,candidats
dégâts de l'inondation,dégâts,inondation,r_has_causatif,train,Det,Def,non,
larmes de joie,larmes,joie,r_has_causatif,train,NoDet,NoDef,non,
séquelles de l'accident,séquelles,accident,r_has_causatif,train,Det,Def,non,
courbatures de l'entraînement,courbatures,entraînement,r_has_causatif,train,Det,Def,non,
décombres du séisme,décombres,séisme,r_has_causatif,train,Det,Def,non,
cris de douleur,cris,douleur,r_has_causatif,train,NoDet,NoDef,non,
fatigue d'un voyage,fatigue,voyage,r_has_causatif,train,Det,NoDef,non,
cloques de la brûlure,cloques,brûlure,r_has_causatif,train,Det,Def,non,
perturbations de la grève,perturbations,grève,r_has_causatif,train,Det,Def,non,
ivresse du champagne,ivresse,champagne,r_has_causatif,train,Det,Def,non,
symptômes d'une grippe,symptômes,grippe,r_has_causatif,train,Det,NoDef,non,
taches de peinture,taches,peinture,r_has_causatif,train,NoDet,NoDef,non,
ravages de la guerre,ravages,guerre,r_has_causatif,train,Det,Def,non,
frissons de froid,frissons,froid,r_has_causatif,train,NoDet,NoDef,non,
stress des examens,stress,examens,r_has_causatif,train,Det,Def,non,
cendres de l'incendie,cendres,incendie,r_has_causatif,train,Det,Def,non,
bénéfices de la vente,bénéfices,vente,r_has_causatif,train,Det,Def,non,
fractures de la chute,fractures,chute,r_has_causatif,train,Det,Def,non,
rougeur de honte,rougeur,honte,r_has_causatif,train,NoDet,NoDef,non,
inondations de la mousson,inondations,mousson,r_has_causatif,train,Det,Def,non,
chagrin de la rupture,chagrin,rupture,r_has_causatif,train,Det,Def,non,
acouphènes du concert,acouphènes,concert,r_has_causatif,train,Det,Def,non,
dettes de jeu,dettes,jeu,r_has_causatif,train,NoDet,NoDef,non,
traces de pneus,traces,pneus,r_has_causatif,train,NoDet,NoDef,non,
souffle de l'explosion,souffle,explosion,r_has_causatif,train,Det,Def,non,
sueur de l'effort,sueur,effort,r_has_causatif,train,Det,Def,non,
hallucinations de la fièvre,hallucinations,fièvre,r_has_causatif,train,Det,Def,non,
désordre de la fête,désordre,fête,r_has_causatif,train,Det,Def,non,
cratère de la météorite,cratère,météorite,r_has_causatif,train,Det,Def,non,
euphorie d'un succès,euphorie,succès,r_has_causatif,train,Det,NoDef,non,
poussière des travaux,poussière,travaux,r_has_causatif,train,Det,Def,non,
ampoules d'une marche,ampoules,marche,r_has_causatif,train,Det,NoDef,non,
obésité de la malbouffe,obésité,malbouffe,r_has_causatif,train,Det,Def,non,
émeutes de la faim,émeutes,faim,r_has_causatif,train,Det,Def,non,
hématome du choc,hématome,choc,r_has_causatif,train,Det,Def,non,
avaries de la tempête,avaries,tempête,r_has_causatif,train,Det,Def,non,
déshydratation de la canicule,déshydratation,canicule,r_has_causatif,train,Det,Def,non,
rides de l'âge,rides,âge,r_has_causatif,train,Det,Def,non,
retombées du scandale,retombées,scandale,r_has_causatif,train,Det,Def,non,
bleus de la bagarre,bleus,bagarre,r_has_causatif,train,Det,Def,non,
incendies d'une sécheresse,incendies,sécheresse,r_has_causatif,train,Det,NoDef,non,
brûlures du soleil,brûlures,soleil,r_has_causatif,train,Det,Def,non,
épuisement du surmenage,épuisement,surmenage,r_has_causatif,train,Det,Def,non,
résultats de l'expérience,résultats,expérience,r_has_causatif,train,Det,Def,non,
démangeaisons de la varicelle,démangeaisons,varicelle,r_has_causatif,train,Det,Def,non,
odeurs d'une cuisson,odeurs,cuisson,r_has_causatif,train,Det,NoDef,non,
pertes du krach,pertes,krach,r_has_causatif,train,Det,Def,non,
