syntagme,A,B,relation,split,det,definitude,ambigu,candidats
cathédrale de Chartres,cathédrale,Chartres,r_lieu,train,NoDet,Def,non,
plage de Biarritz,plage,Biarritz,r_lieu,train,NoDet,Def,non,
port de Rotterdam,port,Rotterdam,r_lieu,train,NoDet,Def,non,
métro de Moscou,métro,Moscou,r_lieu,train,NoDet,Def,non,
opéra de Sydney,opéra,Sydney,r_lieu,train,NoDet,Def,non,
zoo de Vincennes,zoo,Vincennes,r_lieu,train,NoDet,Def,non,
marché de Rungis,marché,Rungis,r_lieu,train,NoDet,Def,non,
stade de Marseille,stade,Marseille,r_lieu,train,NoDet,Def,non,
université de Cambridge,université,Cambridge,r_lieu,train,NoDet,Def,non,
pont d'Avignon,pont,Avignon,r_lieu,train,NoDet,Def,non,
canal de Suez,canal,Suez,r_lieu,train,NoDet,Def,non,
tunnel du Mont-Blanc,tunnel,Mont-Blanc,r_lieu,train,Det,Def,non,
forêt de Brocéliande,forêt,Brocéliande,r_lieu,train,NoDet,Def,non,
lac d'Annecy,lac,Annecy,r_lieu,train,NoDet,Def,non,
glacier des Alpes,glacier,Alpes,r_lieu,train,Det,Def,non,
volcan d'Auvergne,volcan,Auvergne,r_lieu,train,NoDet,Def,non,
falaises d'Étretat,falaises,Étretat,r_lieu,train,NoDet,Def,non,
gorges du Verdon,gorges,Verdon,r_lieu,train,Det,Def,non,
dunes du Sahara,dunes,Sahara,r_lieu,train,Det,Def,non,
mangrove de Guyane,mangrove,Guyane,r_lieu,train,NoDet,Def,non,
savane du Kenya,savane,Kenya,r_lieu,train,Det,Def,non,
jungle de Bornéo,jungle,Bornéo,r_lieu,train,NoDet,Def,non,
récifs d'Australie,récifs,Australie,r_lieu,train,NoDet,Def,non,
fjords de Norvège,fjords,Norvège,r_lieu,train,NoDet,Def,non,
steppes de Mongolie,steppes,Mongolie,r_lieu,train,NoDet,Def,non,
marais de Camargue,marais,Camargue,r_lieu,train,NoDet,Def,non,
