syntagme,A,B,relation,split,det,definitude,ambigu,candidats
fromage de Hollande,fromage,Hollande,r_lieu>origine,train,NoDet,Def,non,
café de Colombie,café,Colombie,r_lieu>origine,train,NoDet,Def,non,
riz de Camargue,riz,Camargue,r_lieu>origine,train,NoDet,Def,non,
thé de Ceylan,thé,Ceylan,r_lieu>origine,train,NoDet,Def,non,
soie de Chine,soie,Chine,r_lieu>origine,train,NoDet,Def,non,
tapis d'Iran,tapis,Iran,r_lieu>origine,train,NoDet,Def,non,
olives de Grèce,olives,Grèce,r_lieu>origine,train,NoDet,Def,non,
dattes de Tunisie,dattes,Tunisie,r_lieu>origine,train,NoDet,Def,non,
oranges du Maroc,oranges,Maroc,r_lieu>origine,train,Det,Def,non,
bananes des Antilles,bananes,Antilles,r_lieu>origine,train,Det,Def,non,
rhum de Martinique,rhum,Martinique,r_lieu>origine,train,NoDet,Def,non,
whisky d'Écosse,whisky,Écosse,r_lieu>origine,train,NoDet,Def,non,
bière de Belgique,bière,Belgique,r_lieu>origine,train,NoDet,Def,non,
chocolat de Suisse,chocolat,Suisse,r_lieu>origine,train,NoDet,Def,non,
montres de Genève,montres,Genève,r_lieu>origine,train,NoDet,Def,non,
porcelaine de Limoges,porcelaine,Limoges,r_lieu>origine,train,NoDet,Def,non,
dentelle de Calais,dentelle,Calais,r_lieu>origine,train,NoDet,Def,non,
moutarde de Dijon,moutarde,Dijon,r_lieu>origine,train,NoDet,Def,non,
jambon de Parme,jambon,Parme,r_lieu>origine,train,NoDet,Def,non,
nougat de Montélimar,nougat,Montélimar,r_lieu>origine,train,NoDet,Def,non,
savon de Marseille,savon,Marseille,r_lieu>origine,train,NoDet,Def,non,
couteaux de Thiers,couteaux,Thiers,r_lieu>origine,train,NoDet,Def,non,
cristal de Bohême,cristal,Bohême,r_lieu>origine,train,NoDet,Def,non,
verre de Murano,verre,Murano,r_lieu>origine,train,NoDet,Def,non,
marbre de Carrare,marbre,Carrare,r_lieu>origine,train,NoDet,Def,non,
granit de Bretagne,granit,Bretagne,r_lieu>origine,train,NoDet,Def,non,
lavande de Provence,lavande,Provence,r_lieu>origine,train,NoDet,Def,non,
melons de Cavaillon,melons,Cavaillon,r_lieu>origine,train,NoDet,Def,non,
fraises de Plougastel,fraises,Plougastel,r_lieu>origine,train,NoDet,Def,non,
pruneaux d'Agen,pruneaux,Agen,r_lieu>origine,train,NoDet,Def,non,
poulet de Bresse,poulet,Bresse,r_lieu>origine,train,NoDet,Def,non,
huîtres de Marennes,huîtres,Marennes,r_lieu>origine,train,NoDet,Def,non,
moules d'Espagne,moules,Espagne,r_lieu>origine,train,NoDet,Def,non,
saumon de Norvège,saumon,Norvège,r_lieu>origine,train,NoDet,Def,non,
morue de Terre-Neuve,morue,Terre-Neuve,r_lieu>origine,train,NoDet,Def,non,
caviar de la Caspienne,caviar,Caspienne,r_lieu>origine,train,Det,Def,non,
épices de Zanzibar,épices,Zanzibar,r_lieu>origine,train,NoDet,Def,non,
vanille de Madagascar,vanille,Madagascar,r_lieu>origine,train,NoDet,Def,non,
cacao de Côte d'Ivoire,,,r_lieu>origine,train,,,oui,cacao / Côte d'Ivoire | cacao de Côte / Ivoire
sucre de Cuba,sucre,Cuba,r_lieu>origine,train,NoDet,Def,non,
tabac de Virginie,tabac,Virginie,r_lieu>origine,train,NoDet,Def,non,
coton d'Égypte,coton,Égypte,r_lieu>origine,train,NoDet,Def,non,
laine d'Australie,laine,Australie,r_lieu>origine,train,NoDet,Def,non,
cuir d'Italie,cuir,Italie,r_lieu>origine,train,NoDet,Def,non,
charbon de Lorraine,charbon,Lorraine,r_lieu>origine,train,NoDet,Def,non,
pétrole du Golfe,pétrole,Golfe,r_lieu>origine,train,Det,Def,non,
émeraudes de Zambie,émeraudes,Zambie,r_lieu>origine,train,NoDet,Def,non,
diamants d'Afrique du Sud,,,r_lieu>origine,train,,,oui,diamants / Afrique du Sud | diamants d'Afrique / Sud
or du Klondike,or,Klondike,r_lieu>origine,train,Det,Def,non,
argile de Vallauris,argile,Vallauris,r_lieu>origine,train,NoDet,Def,non,
estampes du Japon,estampes,Japon,r_lieu>origine,test,Det,Def,non,
tulipes des Pays-Bas,tulipes,Pays-Bas,r_lieu>origine,test,Det,Def,non,
chevaux d'Arabie,chevaux,Arabie,r_lieu>origine,test,NoDet,Def,non,
tigres du Bengale,tigres,Bengale,r_lieu>origine,test,Det,Def,non,
chat de Perse,chat,Perse,r_lieu>origine,test,NoDet,Def,non,
berger d'Anatolie,berger,Anatolie,r_lieu>origine,test,NoDet,Def,non,
kiwis de Nouvelle-Zélande,kiwis,Nouvelle-Zélande,r_lieu>origine,test,NoDet,Def,non,
avocats du Mexique,avocats,Mexique,r_lieu>origine,test,Det,Def,non,
quinoa du Pérou,quinoa,Pérou,r_lieu>origine,test,Det,Def,non,
maté d'Argentine,maté,Argentine,r_lieu>origine,test,NoDet,Def,non,
café d'Éthiopie,café,Éthiopie,r_lieu>origine,test,NoDet,Def,non,
bois de Guyane,bois,Guyane,r_lieu>origine,test,NoDet,Def,non,
acajou du Honduras,acajou,Honduras,r_lieu>origine,test,Det,Def,non,
ananas de Hawaï,ananas,Hawaï,r_lieu>origine,test,NoDet,Def,non,
cigares de La Havane,cigares,Havane,r_lieu>origine,test,Det,Def,non,
tequila de Jalisco,tequila,Jalisco,r_lieu>origine,test,NoDet,Def,non,
vodka de Pologne,vodka,Pologne,r_lieu>origine,test,NoDet,Def,non,
caviar de Russie,caviar,Russie,r_lieu>origine,test,NoDet,Def,non,
ambre de la Baltique,ambre,Baltique,r_lieu>origine,test,Det,Def,non,
fourrure de Sibérie,fourrure,Sibérie,r_lieu>origine,test,NoDet,Def,non,
tapis de Turquie,tapis,Turquie,r_lieu>origine,test,NoDet,Def,non,
safran du Cachemire,safran,Cachemire,r_lieu>origine,test,Det,Def,non,
thé d'Assam,thé,Assam,r_lieu>origine,test,NoDet,Def,non,
curry de Madras,curry,Madras,r_lieu>origine,test,NoDet,Def,non,
mangues d'Inde,mangues,Inde,r_lieu>origine,test,NoDet,Def,non,
papyrus du Nil,papyrus,Nil,r_lieu>origine,test,Det,Def,non,
figues de Smyrne,figues,Smyrne,r_lieu>origine,test,NoDet,Def,non,
raisins de Corinthe,raisins,Corinthe,r_lieu>origine,test,NoDet,Def,non,
vin de Bordeaux,vin,Bordeaux,r_lieu>origine,test,NoDet,Def,non,
eau d'Évian,eau,Évian,r_lieu>origine,test,NoDet,Def,non,
