syntagme,A,B,relation,split,det,definitude,ambigu,candidats
table de chêne,table,chêne,r_objet>matiere,train,NoDet,NoDef,non,
statue de marbre,statue,marbre,r_objet>matiere,train,NoDet,NoDef,non,
pull de laine,pull,laine,r_objet>matiere,train,NoDet,NoDef,non,
gobelet de plastique,gobelet,plastique,r_objet>matiere,train,NoDet,NoDef,non,
poutre d'acier,poutre,acier,r_objet>matiere,train,NoDet,NoDef,non,
chemise de coton,chemise,coton,r_objet>matiere,train,NoDet,NoDef,non,
mur de brique,mur,brique,r_objet>matiere,train,NoDet,NoDef,non,
bague d'argent,bague,argent,r_objet>matiere,train,NoDet,NoDef,non,
vase d'argile,vase,argile,r_objet>matiere,train,NoDet,NoDef,non,
sac de cuir,sac,cuir,r_objet>matiere,train,NoDet,NoDef,non,
portail de fer,portail,fer,r_objet>matiere,train,NoDet,NoDef,non,
bocal de verre,bocal,verre,r_objet>matiere,train,NoDet,NoDef,non,
assiette de porcelaine,assiette,porcelaine,r_objet>matiere,train,NoDet,NoDef,non,
toit d'ardoise,toit,ardoise,r_objet>matiere,train,NoDet,NoDef,non,
escalier de pierre,escalier,pierre,r_objet>matiere,train,NoDet,NoDef,non,
foulard de soie,foulard,soie,r_objet>matiere,train,NoDet,NoDef,non,
dalle de béton,dalle,béton,r_objet>matiere,train,NoDet,NoDef,non,
tuyau de cuivre,tuyau,cuivre,r_objet>matiere,train,NoDet,NoDef,non,
boîte de carton,boîte,carton,r_objet>matiere,train,NoDet,NoDef,non,
pneu de caoutchouc,pneu,caoutchouc,r_objet>matiere,train,NoDet,NoDef,non,
bouchon de liège,bouchon,liège,r_objet>matiere,train,NoDet,NoDef,non,
statuette de bronze,statuette,bronze,r_objet>matiere,train,NoDet,NoDef,non,
cloison de plâtre,cloison,plâtre,r_objet>matiere,train,NoDet,NoDef,non,
jouet de bois,jouet,bois,r_objet>matiere,train,NoDet,NoDef,non,
panier d'osier,panier,osier,r_objet>matiere,train,NoDet,NoDef,non,
nappe de lin,nappe,lin,r_objet>matiere,train,NoDet,NoDef,non,
rideau de velours,rideau,velours,r_objet>matiere,train,NoDet,NoDef,non,
bougie de cire,bougie,cire,r_objet>matiere,train,NoDet,NoDef,non,
peigne d'ivoire,peigne,ivoire,r_objet>matiere,train,NoDet,NoDef,non,
chapeau de paille,chapeau,paille,r_objet>matiere,train,NoDet,NoDef,non,
comptoir de zinc,comptoir,zinc,r_objet>matiere,train,NoDet,NoDef,non,
casserole d'aluminium,casserole,aluminium,r_objet>matiere,train,NoDet,NoDef,non,
soldat de plomb,soldat,plomb,r_objet>matiere,train,NoDet,NoDef,non,
couverts d'étain,couverts,étain,r_objet>matiere,train,NoDet,NoDef,non,
pièce d'or,pièce,or,r_objet>matiere,train,NoDet,NoDef,non,
fauteuil de rotin,fauteuil,rotin,r_objet>matiere,train,NoDet,NoDef,non,
échelle de bambou,échelle,bambou,r_objet>matiere,train,NoDet,NoDef,non,
sol de carrelage,sol,carrelage,r_objet>matiere,train,NoDet,NoDef,non,
mur de torchis,mur,torchis,r_objet>matiere,train,NoDet,NoDef,non,
bol de faïence,bol,faïence,r_objet>matiere,train,NoDet,NoDef,non,
pot de terre cuite,pot,terre cuite,r_objet>matiere,train,NoDet,NoDef,non,
tapis de jute,tapis,jute,r_objet>matiere,train,NoDet,NoDef,non,
chaussures de daim,chaussures,daim,r_objet>matiere,train,NoDet,NoDef,non,
veste de tweed,veste,tweed,r_objet>matiere,train,NoDet,NoDef,non,
sculpture de glace,sculpture,glace,r_objet>matiere,train,NoDet,NoDef,non,
château de sable,château,sable,r_objet>matiere,train,NoDet,NoDef,non,
collier de nacre,collier,nacre,r_objet>matiere,train,NoDet,NoDef,non,
manche de corne,manche,corne,r_objet>matiere,train,NoDet,NoDef,non,
pommeau de jade,pommeau,jade,r_objet>matiere,train,NoDet,NoDef,non,
bonhomme de neige,bonhomme,neige,r_objet>matiere,train,NoDet,NoDef,non,
charpente de sapin,charpente,sapin,r_objet>matiere,test,NoDet,NoDef,non,
armoire de noyer,armoire,noyer,r_objet>matiere,test,NoDet,NoDef,non,
buffet d'acajou,buffet,acajou,r_objet>matiere,test,NoDet,NoDef,non,
colonne de granit,colonne,granit,r_objet>matiere,test,NoDet,NoDef,non,
poêle de fonte,poêle,fonte,r_objet>matiere,test,NoDet,NoDef,non,
blouse de polyester,blouse,polyester,r_objet>matiere,test,NoDet,NoDef,non,
sac de toile,sac,toile,r_objet>matiere,test,NoDet,NoDef,non,
chapeau de feutre,chapeau,feutre,r_objet>matiere,test,NoDet,NoDef,non,
corde de chanvre,corde,chanvre,r_objet>matiere,test,NoDet,NoDef,non,
tablier de vinyle,tablier,vinyle,r_objet>matiere,test,NoDet,NoDef,non,
lampe d'albâtre,lampe,albâtre,r_objet>matiere,test,NoDet,NoDef,non,
mosaïque de céramique,mosaïque,céramique,r_objet>matiere,test,NoDet,NoDef,non,
gâteau de riz,gâteau,riz,r_objet>matiere,test,NoDet,NoDef,non,
galette de sarrasin,galette,sarrasin,r_objet>matiere,test,NoDet,NoDef,non,
mur de pisé,mur,pisé,r_objet>matiere,test,NoDet,NoDef,non,
fil de nylon,fil,nylon,r_objet>matiere,test,NoDet,NoDef,non,
flacon de cristal,flacon,cristal,r_objet>matiere,test,NoDet,NoDef,non,
boucle de laiton,boucle,laiton,r_objet>matiere,test,NoDet,NoDef,non,
lanterne de papier,lanterne,papier,r_objet>matiere,test,NoDet,NoDef,non,
manche d'os,manche,os,r_objet>matiere,test,NoDet,NoDef,non,
bijou de corail,bijou,corail,r_objet>matiere,test,NoDet,NoDef,non,
coque de plexiglas,coque,plexiglas,r_objet>matiere,test,NoDet,NoDef,non,
évier d'inox,évier,inox,r_objet>matiere,test,NoDet,NoDef,non,
monture de titane,monture,titane,r_objet>matiere,test,NoDet,NoDef,non,
emballage de polystyrène,emballage,polystyrène,r_objet>matiere,test,NoDet,NoDef,non,
écharpe de cachemire,écharpe,cachemire,r_objet>matiere,test,NoDet,NoDef,non,
robe de satin,robe,satin,r_objet>matiere,test,NoDet,NoDef,non,
matelas de mousse,matelas,mousse,r_objet>matiere,test,NoDet,NoDef,non,
revêtement de linoléum,revêtement,linoléum,r_objet>matiere,test,NoDet,NoDef,non,
brosse de crin,brosse,crin,r_objet>matiere,test,NoDet,NoDef,non,
