syntagme,A,B,relation,split,det,definitude,ambigu,candidats
couteau de découpe,couteau,découpe,r_processus>instr-1,train,NoDet,NoDef,non,
poste de soudure,poste,soudure,r_processus>instr-1,train,NoDet,NoDef,non,
pinceau de peinture,pinceau,peinture,r_processus>instr-1,train,NoDet,NoDef,non,
papier de ponçage,papier,ponçage,r_processus>instr-1,train,NoDet,NoDef,non,
trépan de forage,trépan,forage,r_processus>instr-1,train,NoDet,NoDef,non,
tuyau d'arrosage,tuyau,arrosage,r_processus>instr-1,train,NoDet,NoDef,non,
produit de nettoyage,produit,nettoyage,r_processus>instr-1,train,NoDet,NoDef,non,
gel de lavage,gel,lavage,r_processus>instr-1,train,NoDet,NoDef,non,
étendoir de séchage,étendoir,séchage,r_processus>instr-1,train,NoDet,NoDef,non,
table de repassage,table,repassage,r_processus>instr-1,train,NoDet,NoDef,non,
plaque de cuisson,plaque,cuisson,r_processus>instr-1,train,NoDet,NoDef,non,
lame de coupe,lame,coupe,r_processus>instr-1,train,NoDet,NoDef,non,
sécateur de taille,sécateur,taille,r_processus>instr-1,train,NoDet,NoDef,non,
ruban de mesure,ruban,mesure,r_processus>instr-1,train,NoDet,NoDef,non,
balance de pesage,balance,pesage,r_processus>instr-1,train,NoDet,NoDef,non,
pompe de relevage,pompe,relevage,r_processus>instr-1,train,NoDet,NoDef,non,
palan de levage,palan,levage,r_processus>instr-1,train,NoDet,NoDef,non,
clé de serrage,clé,serrage,r_processus>instr-1,train,NoDet,NoDef,non,
mèche de perçage,mèche,perçage,r_processus>instr-1,train,NoDet,NoDef,non,
tournevis de vissage,tournevis,vissage,r_processus>instr-1,train,NoDet,NoDef,non,
plaquette de freinage,plaquette,freinage,r_processus>instr-1,train,NoDet,NoDef,non,
lampe d'éclairage,lampe,éclairage,r_processus>instr-1,train,NoDet,NoDef,non,
chaudière de chauffage,chaudière,chauffage,r_processus>instr-1,train,NoDet,NoDef,non,
cartouche de filtrage,cartouche,filtrage,r_processus>instr-1,train,NoDet,NoDef,non,
broyeur de déchets,broyeur,déchets,r_processus>instr-1,train,NoDet,NoDef,non,
film d'emballage,film,emballage,r_processus>instr-1,train,NoDet,NoDef,non,
bac de tri,bac,tri,r_processus>instr-1,train,NoDet,NoDef,non,
camion de transport,camion,transport,r_processus>instr-1,train,NoDet,NoDef,non,
gilet de sauvetage,gilet,sauvetage,r_processus>instr-1,train,NoDet,NoDef,non,
trousse de secours,trousse,secours,r_processus>instr-1,train,NoDet,NoDef,non,
corde d'escalade,corde,escalade,r_processus>instr-1,train,NoDet,NoDef,non,
masque de plongée,masque,plongée,r_processus>instr-1,train,NoDet,NoDef,non,
filet de pêche,filet,pêche,r_processus>instr-1,train,NoDet,NoDef,non,
fusil de chasse,fusil,chasse,r_processus>instr-1,train,NoDet,NoDef,non,
