syntagme,A,B,relation,split,det,definitude,ambigu,candidats
ouverture de la fenêtre,ouverture,fenêtre,r_processus_patient,train,Det,Def,non,
fermeture du magasin,fermeture,magasin,r_processus_patient,train,Det,Def,non,
destruction du village,destruction,village,r_processus_patient,train,Det,Def,non,
démolition de l'immeuble,démolition,immeuble,r_processus_patient,train,Det,Def,non,
construction du barrage,construction,barrage,r_processus_patient,train,Det,Def,non,
rénovation de la façade,rénovation,façade,r_processus_patient,train,Det,Def,non,
réparation d'un moteur,réparation,moteur,r_processus_patient,train,Det,NoDef,non,
nettoyage des vitres,nettoyage,vitres,r_processus_patient,train,Det,Def,non,
lavage de la voiture,lavage,voiture,r_processus_patient,train,Det,Def,non,
taille des rosiers,taille,rosiers,r_processus_patient,train,Det,Def,non,
tonte d'une pelouse,tonte,pelouse,r_processus_patient,train,Det,NoDef,non,
élagage des arbres,élagage,arbres,r_processus_patient,train,Det,Def,non,
récolte du blé,récolte,blé,r_processus_patient,train,Det,Def,non,
cueillette des fraises,cueillette,fraises,r_processus_patient,train,Det,Def,non,
broyage des olives,broyage,olives,r_processus_patient,train,Det,Def,non,
découpe de la viande,découpe,viande,r_processus_patient,train,Det,Def,non,
cuisson du riz,cuisson,riz,r_processus_patient,train,Det,Def,non,
congélation des légumes,congélation,légumes,r_processus_patient,train,Det,Def,non,
fonte du beurre,fonte,beurre,r_processus_patient,train,Det,Def,non,
séchage du linge,séchage,linge,r_processus_patient,train,Det,Def,non,
repassage des chemises,repassage,chemises,r_processus_patient,train,Det,Def,non,
tri des déchets,tri,déchets,r_processus_patient,train,Det,Def,non,
recyclage du plastique,recyclage,plastique,r_processus_patient,train,Det,Def,non,
traitement des eaux,traitement,eaux,r_processus_patient,train,Det,Def,non,
filtrage de l'air,filtrage,air,r_processus_patient,train,Det,Def,non,
raffinage du pétrole,raffinage,pétrole,r_processus_patient,train,Det,Def,non,
extraction du charbon,extraction,charbon,r_processus_patient,train,Det,Def,non,
forage du puits,forage,puits,r_processus_patient,train,Det,Def,non,
creusement du tunnel,creusement,tunnel,r_processus_patient,train,Det,Def,non,
pavage de la route,pavage,route,r_processus_patient,train,Det,Def,non,
peinture du plafond,peinture,plafond,r_processus_patient,train,Det,Def,non,
vernissage du parquet,vernissage,parquet,r_processus_patient,train,Det,Def,non,
polissage du marbre,polissage,marbre,r_processus_patient,train,Det,Def,non,
ponçage de la planche,ponçage,planche,r_processus_patient,train,Det,Def,non,
soudure des tuyaux,soudure,tuyaux,r_processus_patient,train,Det,Def,non,
assemblage des pièces,assemblage,pièces,r_processus_patient,train,Det,Def,non,
emballage des colis,emballage,colis,r_processus_patient,train,Det,Def,non,
livraison des marchandises,livraison,marchandises,r_processus_patient,train,Det,Def,non,
vente de la maison,vente,maison,r_processus_patient,train,Det,Def,non,
achat du terrain,achat,terrain,r_processus_patient,train,Det,Def,non,
location de l'appartement,location,appartement,r_processus_patient,train,Det,Def,non,
restauration d'un tableau,restauration,tableau,r_processus_patient,train,Det,NoDef,non,
numérisation des archives,numérisation,archives,r_processus_patient,train,Det,Def,non,
traduction du roman,traduction,roman,r_processus_patient,train,Det,Def,non,
correction des copies,correction,copies,r_processus_patient,train,Det,Def,non,
relecture d'un manuscrit,relecture,manuscrit,r_processus_patient,train,Det,NoDef,non,
publication de l'article,publication,article,r_processus_patient,train,Det,Def,non,
diffusion du film,diffusion,film,r_processus_patient,train,Det,Def,non,
annulation d'un concert,annulation,concert,r_processus_patient,train,Det,NoDef,non,
report d'une réunion,report,réunion,r_processus_patient,train,Det,NoDef,non,
évacuation du stade,évacuation,stade,r_processus_patient,test,Det,Def,non,
inondation des caves,inondation,caves,r_processus_patient,test,Det,Def,non,
stérilisation des instruments,stérilisation,instruments,r_processus_patient,test,Det,Def,non,
vaccination des troupeaux,vaccination,troupeaux,r_processus_patient,test,Det,Def,non,
ferrage du cheval,ferrage,cheval,r_processus_patient,test,Det,Def,non,
dressage du chiot,dressage,chiot,r_processus_patient,test,Det,Def,non,
abattage du bétail,abattage,bétail,r_processus_patient,test,Det,Def,non,
plumage de la volaille,plumage,volaille,r_processus_patient,test,Det,Def,non,
écaillage d'un poisson,écaillage,poisson,r_processus_patient,test,Det,NoDef,non,
pétrissage d'une pâte,pétrissage,pâte,r_processus_patient,test,Det,NoDef,non,
fermentation du raisin,fermentation,raisin,r_processus_patient,test,Det,Def,non,
distillation de l'alcool,distillation,alcool,r_processus_patient,test,Det,Def,non,
torréfaction du café,torréfaction,café,r_processus_patient,test,Det,Def,non,
mouture des grains,mouture,grains,r_processus_patient,test,Det,Def,non,
tamisage de la farine,tamisage,farine,r_processus_patient,test,Det,Def,non,
salage d'un jambon,salage,jambon,r_processus_patient,test,Det,NoDef,non,
fumage du saumon,fumage,saumon,r_processus_patient,test,Det,Def,non,
macération des fruits,macération,fruits,r_processus_patient,test,Det,Def,non,
embouteillage du vin,embouteillage,vin,r_processus_patient,test,Det,Def,non,
étiquetage des bouteilles,étiquetage,bouteilles,r_processus_patient,test,Det,Def,non,
chargement du camion,chargement,camion,r_processus_patient,test,Det,Def,non,
déchargement de la cargaison,déchargement,cargaison,r_processus_patient,test,Det,Def,non,
amarrage du bateau,amarrage,bateau,r_processus_patient,test,Det,Def,non,
remorquage de l'épave,remorquage,épave,r_processus_patient,test,Det,Def,non,
démontage de l'échafaudage,démontage,échafaudage,r_processus_patient,test,Det,Def,non,
installation d'un logiciel,installation,logiciel,r_processus_patient,test,Det,NoDef,non,
compression des fichiers,compression,fichiers,r_processus_patient,test,Det,Def,non,
sauvegarde des données,sauvegarde,données,r_processus_patient,test,Det,Def,non,
suppression du compte,suppression,compte,r_processus_patient,test,Det,Def,non,
chiffrement des messages,chiffrement,messages,r_processus_patient,test,Det,Def,non,
