syntagme,A,B,relation,split,det,definitude,ambigu,candidats
tranche de pain,tranche,pain,r_quantificateur,train,NoDet,NoDef,non,
morceau de sucre,morceau,sucre,r_quantificateur,train,NoDet,NoDef,non,
grain de riz,grain,riz,r_quantificateur,train,NoDet,NoDef,non,
goutte d'eau,goutte,eau,r_quantificateur,train,NoDet,NoDef,non,
pincée de sel,pincée,sel,r_quantificateur,train,NoDet,NoDef,non,
cuillère de sirop,cuillère,sirop,r_quantificateur,train,NoDet,NoDef,non,
verre de lait,verre,lait,r_quantificateur,train,NoDet,NoDef,non,
tasse de café,tasse,café,r_quantificateur,train,NoDet,NoDef,non,
bol de soupe,bol,soupe,r_quantificateur,train,NoDet,NoDef,non,
assiette de pâtes,assiette,pâtes,r_quantificateur,train,NoDet,NoDef,non,
louche de bouillon,louche,bouillon,r_quantificateur,train,NoDet,NoDef,non,
poignée de sable,poignée,sable,r_quantificateur,train,NoDet,NoDef,non,
brassée de fleurs,brassée,fleurs,r_quantificateur,train,NoDet,NoDef,non,
botte de radis,botte,radis,r_quantificateur,train,NoDet,NoDef,non,
gerbe de blé,gerbe,blé,r_quantificateur,train,NoDet,NoDef,non,
tas de bois,tas,bois,r_quantificateur,train,NoDet,NoDef,non,
pile de livres,pile,livres,r_quantificateur,train,NoDet,NoDef,non,
rame de papier,rame,papier,r_quantificateur,train,NoDet,NoDef,non,
bloc de glace,bloc,glace,r_quantificateur,train,NoDet,NoDef,non,
barre de chocolat,barre,chocolat,r_quantificateur,train,NoDet,NoDef,non,
plaque de beurre,plaque,beurre,r_quantificateur,train,NoDet,NoDef,non,
pain de savon,pain,savon,r_quantificateur,train,NoDet,NoDef,non,
pot de miel,pot,miel,r_quantificateur,train,NoDet,NoDef,non,
bocal de confiture,bocal,confiture,r_quantificateur,train,NoDet,NoDef,non,
sac de ciment,sac,ciment,r_quantificateur,train,NoDet,NoDef,non,
caisse de pommes,caisse,pommes,r_quantificateur,train,NoDet,NoDef,non,
cageot de tomates,cageot,tomates,r_quantificateur,train,NoDet,NoDef,non,
filet d'oranges,filet,oranges,r_quantificateur,train,NoDet,NoDef,non,
bouquet de persil,bouquet,persil,r_quantificateur,train,NoDet,NoDef,non,
touffe d'herbe,touffe,herbe,r_quantificateur,train,NoDet,NoDef,non,
flaque d'huile,flaque,huile,r_quantificateur,train,NoDet,NoDef,non,
nuage de lait,nuage,lait,r_quantificateur,train,NoDet,NoDef,non,
doigt de vin,doigt,vin,r_quantificateur,train,NoDet,NoDef,non,
litre d'essence,litre,essence,r_quantificateur,train,NoDet,NoDef,non,
kilo de farine,kilo,farine,r_quantificateur,train,NoDet,NoDef,non,
tonne d'acier,tonne,acier,r_quantificateur,train,NoDet,NoDef,non,
mètre de tissu,mètre,tissu,r_quantificateur,train,NoDet,NoDef,non,
hectare de vigne,hectare,vigne,r_quantificateur,train,NoDet,NoDef,non,
heure de route,heure,route,r_quantificateur,train,NoDet,NoDef,non,
minute de silence,minute,silence,r_quantificateur,train,NoDet,NoDef,non,
journée de travail,journée,travail,r_quantificateur,train,NoDet,NoDef,non,
semaine de vacances,semaine,vacances,r_quantificateur,train,NoDet,NoDef,non,
mois de loyer,mois,loyer,r_quantificateur,train,NoDet,NoDef,non,
année de service,année,service,r_quantificateur,train,NoDet,NoDef,non,
siècle d'histoire,siècle,histoire,r_quantificateur,train,NoDet,NoDef,non,
dizaine d'élèves,dizaine,élèves,r_quantificateur,train,NoDet,NoDef,non,
centaine de manifestants,centaine,manifestants,r_quantificateur,train,NoDet,NoDef,non,
millier de spectateurs,millier,spectateurs,r_quantificateur,train,NoDet,NoDef,non,
paire de chaussettes,paire,chaussettes,r_quantificateur,train,NoDet,NoDef,non,
douzaine d'œufs,douzaine,œufs,r_quantificateur,train,NoDet,NoDef,non,
bouchée de gâteau,bouchée,gâteau,r_quantificateur,test,NoDet,NoDef,non,
lampée de cidre,lampée,cidre,r_quantificateur,test,NoDet,NoDef,non,
gorgée de thé,gorgée,thé,r_quantificateur,test,NoDet,NoDef,non,
miette de pain,miette,pain,r_quantificateur,test,NoDet,NoDef,non,
copeau de bois,copeau,bois,r_quantificateur,test,NoDet,NoDef,non,
flocon de neige,flocon,neige,r_quantificateur,test,NoDet,NoDef,non,
brin de paille,brin,paille,r_quantificateur,test,NoDet,NoDef,non,
mèche de cheveux,mèche,cheveux,r_quantificateur,test,NoDet,NoDef,non,
boule de glace,boule,glace,r_quantificateur,test,NoDet,NoDef,non,
tranche de jambon,tranche,jambon,r_quantificateur,test,NoDet,NoDef,non,
quartier d'orange,quartier,orange,r_quantificateur,test,NoDet,NoDef,non,
gousse d'ail,gousse,ail,r_quantificateur,test,NoDet,NoDef,non,
tête de laitue,tête,laitue,r_quantificateur,test,NoDet,NoDef,non,
épi de maïs,épi,maïs,r_quantificateur,test,NoDet,NoDef,non,
rangée de sièges,rangée,sièges,r_quantificateur,test,NoDet,NoDef,non,
série de questions,série,questions,r_quantificateur,test,NoDet,NoDef,non,
salve d'applaudissements,salve,applaudissements,r_quantificateur,test,NoDet,NoDef,non,
rafale de vent,rafale,vent,r_quantificateur,test,NoDet,NoDef,non,
volée de marches,volée,marches,r_quantificateur,test,NoDet,NoDef,non,
troupeau de vaches,troupeau,vaches,r_quantificateur,test,NoDet,NoDef,non,
banc de poissons,banc,poissons,r_quantificateur,test,NoDet,NoDef,non,
essaim d'abeilles,essaim,abeilles,r_quantificateur,test,NoDet,NoDef,non,
nuée d'insectes,nuée,insectes,r_quantificateur,test,NoDet,NoDef,non,
meute de loups,meute,loups,r_quantificateur,test,NoDet,NoDef,non,
vol d'oies,vol,oies,r_quantificateur,test,NoDet,NoDef,non,
foule de curieux,foule,curieux,r_quantificateur,test,NoDet,NoDef,non,
monceau de ferraille,monceau,ferraille,r_quantificateur,test,NoDet,NoDef,non,
stock de pièces,stock,pièces,r_quantificateur,test,NoDet,NoDef,non,
lot de vêtements,lot,vêtements,r_quantificateur,test,NoDet,NoDef,non,
dose de courage,dose,courage,r_quantificateur,test,NoDet,NoDef,non,
