syntagme,A,B,relation,split,det,definitude,ambigu,candidats
livre de cuisine,livre,cuisine,r_topic,train,NoDet,NoDef,non,
cours de mathématiques,cours,mathématiques,r_topic,train,NoDet,NoDef,non,
magasin de chaussures,magasin,chaussures,r_topic,train,NoDet,NoDef,non,
roman de science-fiction,roman,science-fiction,r_topic,train,NoDet,NoDef,non,
repas de midi,repas,midi,r_topic,train,NoDet,NoDef,non,
revue d'histoire,revue,histoire,r_topic,train,NoDet,NoDef,non,
manuel de chimie,manuel,chimie,r_topic,train,NoDet,NoDef,non,
site de rencontres,site,rencontres,r_topic,train,NoDet,NoDef,non,
club de lecture,club,lecture,r_topic,train,NoDet,NoDef,non,
bus de nuit,bus,nuit,r_topic,train,NoDet,NoDef,non,
atelier de poterie,atelier,poterie,r_topic,train,NoDet,NoDef,non,
film d'aventure,film,aventure,r_topic,train,NoDet,NoDef,non,
professeur de piano,professeur,piano,r_topic,train,NoDet,NoDef,non,
salon de coiffure,salon,coiffure,r_topic,train,NoDet,NoDef,non,
brise du matin,brise,matin,r_topic,train,Det,Def,non,
concours de beauté,concours,beauté,r_topic,train,NoDet,NoDef,non,
émission de variétés,émission,variétés,r_topic,train,NoDet,NoDef,non,
magazine de mode,magazine,mode,r_topic,train,NoDet,NoDef,non,
boutique de souvenirs,boutique,souvenirs,r_topic,train,NoDet,NoDef,non,
journal du soir,journal,soir,r_topic,train,Det,Def,non,
stage de survie,stage,survie,r_topic,train,NoDet,NoDef,non,
conférence de bioéthique,conférence,bioéthique,r_topic,train,NoDet,NoDef,non,
débat de société,débat,société,r_topic,train,NoDet,NoDef,non,
chaîne d'information,chaîne,information,r_topic,train,NoDet,NoDef,non,
vacances d'été,vacances,été,r_topic,train,NoDet,NoDef,non,
jeu de stratégie,jeu,stratégie,r_topic,train,NoDet,NoDef,non,
salle de sport,salle,sport,r_topic,train,NoDet,NoDef,non,
école de commerce,école,commerce,r_topic,train,NoDet,NoDef,non,
faculté de médecine,faculté,médecine,r_topic,train,NoDet,NoDef,non,
laboratoire de biologie,laboratoire,biologie,r_topic,train,NoDet,NoDef,non,
traité de paix,traité,paix,r_topic,train,NoDet,NoDef,non,
loi de finances,loi,finances,r_topic,train,NoDet,NoDef,non,
réforme des retraites,réforme,retraites,r_topic,train,Det,Def,non,
commission d'enquête,commission,enquête,r_topic,train,NoDet,NoDef,non,
rapport de gestion,rapport,gestion,r_topic,train,NoDet,NoDef,non,
colloque de linguistique,colloque,linguistique,r_topic,train,NoDet,NoDef,non,
thèse de sociologie,thèse,sociologie,r_topic,train,NoDet,NoDef,non,
mémoire d'informatique,mémoire,informatique,r_topic,train,NoDet,NoDef,non,
exposé de géographie,exposé,géographie,r_topic,train,NoDet,NoDef,non,
devoir de philosophie,devoir,philosophie,r_topic,train,NoDet,NoDef,non,
dictionnaire de synonymes,dictionnaire,synonymes,r_topic,train,NoDet,NoDef,non,
encyclopédie des animaux,encyclopédie,animaux,r_topic,train,Det,Def,non,
guide de randonnée,guide,randonnée,r_topic,train,NoDet,NoDef,non,
carnet de voyage,carnet,voyage,r_topic,train,NoDet,NoDef,non,
blog de jardinage,blog,jardinage,r_topic,train,NoDet,NoDef,non,
podcast de cinéma,podcast,cinéma,r_topic,train,NoDet,NoDef,non,
festival de jazz,festival,jazz,r_topic,train,NoDet,NoDef,non,
concert de rock,concert,rock,r_topic,train,NoDet,NoDef,non,
tournoi d'échecs,tournoi,échecs,r_topic,train,NoDet,NoDef,non,
match de football,match,football,r_topic,train,NoDet,NoDef,non,
messe de minuit,messe,minuit,r_topic,test,NoDet,NoDef,non,
marché du samedi,marché,samedi,r_topic,test,Det,Def,non,
soldes d'hiver,soldes,hiver,r_topic,test,NoDet,NoDef,non,
magasin de jouets,magasin,jouets,r_topic,test,NoDet,NoDef,non,
marchand de journaux,marchand,journaux,r_topic,test,NoDet,NoDef,non,
salon de thé,salon,thé,r_topic,test,NoDet,NoDef,non,
marché de Noël,marché,Noël,r_topic,test,NoDet,Def,non,
rayon de bricolage,rayon,bricolage,r_topic,test,NoDet,NoDef,non,
foire du livre,foire,livre,r_topic,test,Det,Def,non,
salon de l'automobile,salon,automobile,r_topic,test,Det,Def,non,
exposition d'archéologie,exposition,archéologie,r_topic,test,NoDet,NoDef,non,
documentaire de guerre,documentaire,guerre,r_topic,test,NoDet,NoDef,non,
comédie de mœurs,comédie,mœurs,r_topic,test,NoDet,NoDef,non,
série d'espionnage,série,espionnage,r_topic,test,NoDet,NoDef,non,
